"SubjID","Sess","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again"
"S275","s12-09",12,2,4,6,27,33,6,1,0,2,"#NULL!","#NULL!",0,2,2,0,2,"#NULL!","#NULL!",-2.27,-1.74,"#NULL!","#NULL!",27,"#NULL!","#NULL!",33,0,38,2
"S276","s12-08",12,1,6,6,36,41,5,2,"#NULL!","#NULL!",3,5,3,5,2,"#NULL!","#NULL!",3,5,"#NULL!","#NULL!",-1.39,-1.32,"#NULL!",36,41,"#NULL!",0,29,2
"S277","s12-17",12,1,6,6,39,51,12,1,4,9,"#NULL!","#NULL!",4,9,5,4,8,"#NULL!","#NULL!",-1.14,-0.25,"#NULL!","#NULL!",39,"#NULL!","#NULL!",51,0,"#NULL!",5
"S278","s12-14",12,1,2,6,48,44,-4,2,"#NULL!","#NULL!",8,7,8,7,-1,"#NULL!","#NULL!",7,6,"#NULL!","#NULL!",-0.19,-1.05,"#NULL!",48,44,"#NULL!",0,62,-1
"S279","s12-15",12,2,6,6,27,42,15,1,0,6,"#NULL!","#NULL!",0,6,6,0,5,"#NULL!","#NULL!",-2.27,-0.99,"#NULL!","#NULL!",27,"#NULL!","#NULL!",42,0,20,6
"S280","s12-10",12,2,6,6,30,47,17,2,"#NULL!","#NULL!",1,7,1,7,6,"#NULL!","#NULL!",1,7,"#NULL!","#NULL!",-1.99,-0.78,"#NULL!",30,47,"#NULL!",0,"#NULL!",6
"S281","s12-07",12,1,4,6,33,42,9,1,2,7,"#NULL!","#NULL!",2,7,5,2,5,"#NULL!","#NULL!",-1.71,-0.99,"#NULL!","#NULL!",33,"#NULL!","#NULL!",42,0,39,5
"S282","s12-11",12,2,6,6,33,39,6,2,"#NULL!","#NULL!",2,4,2,4,2,"#NULL!","#NULL!",2,4,"#NULL!","#NULL!",-1.69,-1.59,"#NULL!",33,39,"#NULL!",0,30,2
"S283","s12-02",12,1,6,6,41,48,7,1,5,8,"#NULL!","#NULL!",5,8,3,5,7,"#NULL!","#NULL!",-0.86,-0.49,"#NULL!","#NULL!",41,"#NULL!","#NULL!",48,0,"#NULL!",3
"S284","s12-01",12,2,4,6,36,39,3,2,"#NULL!","#NULL!",3,4,3,4,1,"#NULL!","#NULL!",3,4,"#NULL!","#NULL!",-1.39,-1.59,"#NULL!",36,39,"#NULL!",0,62,1
"S285","s12-04",12,2,2,6,50,45,-5,1,9,6,"#NULL!","#NULL!",9,6,-3,8,6,"#NULL!","#NULL!",-0.01,-0.74,"#NULL!","#NULL!",50,"#NULL!","#NULL!",45,0,62,-3
"S291","s13-06",13,1,"#NULL!",5,47,33,-14,1,7,2,"#NULL!","#NULL!",7,2,-5,7,2,"#NULL!","#NULL!",-0.29,-1.74,"#NULL!","#NULL!",47,"#NULL!","#NULL!",33,0,62,-5
"S292","s13-09",13,2,6,5,39,47,8,2,"#NULL!","#NULL!",4,8,4,8,4,"#NULL!","#NULL!",4,7,"#NULL!","#NULL!",-1.09,-0.78,"#NULL!",39,47,"#NULL!",0,62,4
"S293","s13-18",13,2,6,3,41,39,-2,1,6,4,"#NULL!","#NULL!",6,4,-2,5,4,"#NULL!","#NULL!",-0.86,-1.24,"#NULL!","#NULL!",41,"#NULL!","#NULL!",39,0,"#NULL!",-2
"S294","s13-13",13,2,6,3,57,50,-7,2,"#NULL!","#NULL!",10,9,10,9,-1,"#NULL!","#NULL!",10,8,"#NULL!","#NULL!",0.71,-0.5,"#NULL!",57,50,"#NULL!",0,62,-1
"S295","s13-14",13,2,6,3,41,51,10,1,6,8,"#NULL!","#NULL!",6,8,2,5,8,"#NULL!","#NULL!",-0.86,-0.25,"#NULL!","#NULL!",41,"#NULL!","#NULL!",51,0,62,2
"S296","s13-08",13,2,3,3,48,39,-9,2,"#NULL!","#NULL!",7,4,7,4,-3,"#NULL!","#NULL!",7,4,"#NULL!","#NULL!",-0.19,-1.59,"#NULL!",48,39,"#NULL!",0,"#NULL!",-3
"S297","s13-07",13,1,3,3,44,51,7,1,6,8,"#NULL!","#NULL!",6,8,2,6,8,"#NULL!","#NULL!",-0.58,-0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",51,0,62,2
"S298","s13-01",13,1,3,3,48,50,2,2,"#NULL!","#NULL!",7,9,7,9,2,"#NULL!","#NULL!",7,8,"#NULL!","#NULL!",-0.19,-0.5,"#NULL!",48,50,"#NULL!",0,40,2
"S299","s13-03",13,2,3,3,47,33,-14,1,8,2,"#NULL!","#NULL!",8,2,-6,7,2,"#NULL!","#NULL!",-0.29,-1.74,"#NULL!","#NULL!",47,"#NULL!","#NULL!",33,0,"#NULL!",-6
"S300","s13-17",13,1,3,3,54,41,-13,2,"#NULL!","#NULL!",9,5,9,5,-4,"#NULL!","#NULL!",9,5,"#NULL!","#NULL!",0.41,-1.32,"#NULL!",54,41,"#NULL!",0,62,-4
"S301","s13-11",13,2,3,3,53,48,-5,1,9,7,"#NULL!","#NULL!",9,7,-2,9,7,"#NULL!","#NULL!",0.27,-0.49,"#NULL!","#NULL!",53,"#NULL!","#NULL!",48,0,61,-2
"S302","s13-04",13,1,5,3,45,50,5,2,"#NULL!","#NULL!",7,8,7,8,1,"#NULL!","#NULL!",6,8,"#NULL!","#NULL!",-0.49,-0.5,"#NULL!",45,50,"#NULL!",0,"#NULL!",1
