s13-12,"NA","wbunaandhrmnqn",NA,3,"8:16:56 AM","2/3/2006",1,1,63,37,19,7,"00:44:60",2,2,2,2,2,2,NA,1,2,2,NA,NA,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
s13-13,"NA","wbetrgbeerf",NA,1,"8:17:07 AM","2/3/2006",2,2, 63,14,49,0,"00:21:47",1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1
s13-14,"NA","wbfrqrytnqb",NA,2,"8:17:09 AM","2/3/2006",2,1,  63,16,46,0,"00:26:12",1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,NA
s13-15,"NA","xngrnenshffryy",NA,1,"8:16:47 AM","2/3/2006",2,2,  63,14,31,16,"00:44:60",1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
s13-16,"NA","fnzuhfgu",NA,1,"8:16:47 AM","2/3/2006",2,2, 63,15,29,19,"00:44:60",2,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
s13-17,"NA","gnznengubznf",NA,1,"8:16:46 AM","2/3/2006",2,2, 63,11,52,0,"00:27:54",1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
s13-18,"NA","jvyyvnzneovgb",NA,3,"8:17:14 AM","2/3/2006",1,1,63,9,54,0,"00:23:19",1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
s14-01,"NA","nfuyrlcbjryy",NA,2,"10:40:30 AM","2/3/2006",2,1, 63,11,9,43,"00:44:60",NA,NA,NA,2,1,1,1,1,2,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s14-02,"NA","qrivaxbfgne",NA,2,"10:40:30 AM","2/3/2006",2,1,  63,18,45,0,"00:34:30",1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2
s14-03,"NA","whyvrfryvzv",NA,3,"10:40:26 AM","2/3/2006",1,1,63,18,45,0,"00:23:05",2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1
s14-04,"NA","znevffnenvavrev",NA,1,"10:40:22 AM","2/3/2006",2,2, 63,16,47,0,"00:23:31",1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2
