S125    ,0.066,0.371,0.562,0.095,0.79,0.114,0,0.036,0.964,0,0.025,0.975,0.001,0.036,0.963,0,0.006,0.994,0.211,0.653,0.136,0,0.01,0.99
S126    ,0.011,0.17,0.819,0.018,0.669,0.313,0,0.023,0.977,0,0.006,0.994,0,0.017,0.983,0,0,1,0.018,0.402,0.579,0,0.01,0.99
S128    ,0.314,0.496,0.19,0.648,0.341,0.011,0.004,0.12,0.876,0.01,0.161,0.828,0.011,0.167,0.823,0.019,0.718,0.263,0.898,0.1,0.003,0.456,0.411,0.133
S129    ,0.66,0.306,0.035,1,0,0,0.897,0.101,0.002,0.439,0.465,0.096,0.491,0.393,0.116,0.998,0.002,0,1,0,0,0.936,0.063,0.001
S131    ,0.131,0.46,0.409,0.994,0.006,0,0.498,0.42,0.082,0.496,0.423,0.081,0.277,0.442,0.281,0.893,0.107,0,0.997,0.003,0,0.814,0.176,0.009
S132    ,0.113,0.445,0.441,0.918,0.082,0,0.001,0.064,0.935,0.004,0.076,0.921,0.018,0.144,0.839,0,0.112,0.888,0.279,0.599,0.122,0,0.015,0.985
S134    ,0.066,0.384,0.551,0.984,0.016,0,0.29,0.49,0.22,0.054,0.274,0.672,0.027,0.203,0.77,0.005,0.412,0.582,0.474,0.444,0.082,0,0.031,0.968
S135    ,0.025,0.265,0.71,0.998,0.002,0,0.254,0.515,0.23,0.647,0.32,0.033,0.631,0.302,0.067,0.878,0.122,0,0.997,0.003,0,0.619,0.337,0.043
S140    ,0.12,0.405,0.476,0.725,0.261,0.014,0.01,0.155,0.835,0.242,0.41,0.348,0.122,0.3,0.577,0.009,0.544,0.447,0.841,0.152,0.007,0.035,0.19,0.774
S141    ,0.587,0.359,0.055,1,0,0,0.773,0.215,0.013,0.165,0.507,0.328,0.469,0.382,0.149,0.983,0.017,0,0.999,0.001,0,0.66,0.313,0.027
S143    ,0.09,0.421,0.489,0.999,0.001,0,0.564,0.378,0.058,0.251,0.527,0.223,0.089,0.449,0.462,0.926,0.074,0,0.998,0.002,0,0.824,0.168,0.008
S144    ,0.974,0.026,0,1,0,0,0.452,0.457,0.092,0.677,0.3,0.023,0.878,0.116,0.007,0.995,0.005,0,1,0,0,0.845,0.15,0.005
S146    ,0.095,0.433,0.473,0.94,0.059,0.001,0.003,0.097,0.9,0.306,0.439,0.255,0.022,0.193,0.785,0.043,0.736,0.221,0.71,0.255,0.035,0.245,0.479,0.275
S147    ,0.846,0.148,0.007,1,0,0,0.407,0.475,0.119,0.434,0.465,0.101,0.461,0.395,0.145,0.957,0.043,0,0.985,0.013,0.001,0.834,0.16,0.006
S149    ,0.607,0.341,0.052,0.998,0.002,0,0.007,0.163,0.83,0.404,0.463,0.133,0.64,0.277,0.083,0.743,0.257,0.001,0.993,0.007,0,0.769,0.214,0.016
S150    ,0.332,0.499,0.169,0.976,0.024,0,0.004,0.121,0.875,0.095,0.389,0.516,0.187,0.401,0.412,0.066,0.823,0.111,0.944,0.055,0.001,0.106,0.449,0.445
S152    ,0.635,0.322,0.043,0.996,0.004,0,0.096,0.434,0.469,0.302,0.496,0.202,0.118,0.446,0.436,0.749,0.25,0.001,0.997,0.003,0,0.57,0.367,0.063
