"","tVerbalRuleExplicitModelGeometric2a","tVerbalRuleExplicitModelGeometric3a","tVerbalRuleExtendModelGeometric1a","tVerbalRuleExtendModelGeometric1b","tVerbalRuleExtendModelGeometric2a","tVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3b","tVisualExtendTableModelVerbalRuleGeometric2a","tVisualExtendVerbalRuleModelGeometric2a"
"182",0,0,0,0,1,0,0,0,0,0
"183",1,0,0,1,0,0,0,1,0,0
"184",NA,NA,0,0,0,NA,NA,1,0,0
"185",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,0,1,1,0,NA,NA,0,0
"187",NA,NA,0,1,1,NA,NA,0,0,0
"188",1,0,0,1,1,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0
"190",0,0,1,0,1,0,0,0,0,0
"191",0,0,1,0,1,0,0,0,0,0
"192",0,0,0,0,1,0,1,0,0,1
"193",1,0,0,0,1,0,0,0,0,0
"194",0,0,1,1,0,0,1,0,0,0
"195",0,0,1,1,1,0,0,0,0,0
"196",0,0,1,0,0,0,1,0,0,0
"197",1,1,1,0,1,0,0,1,0,0
"198",0,NA,1,0,1,0,NA,NA,0,0
"199",0,0,0,0,1,0,0,0,NA,NA
"200",0,0,1,0,0,0,0,0,0,1
"201",1,0,0,0,0,0,1,0,0,1
"202",0,0,0,0,0,0,1,0,0,0
"203",NA,NA,0,1,0,0,NA,NA,0,0
"204",0,NA,0,0,1,0,1,0,0,0
"205",0,0,0,0,1,0,0,1,NA,NA
"206",NA,NA,0,0,0,NA,NA,NA,0,0
"207",0,0,0,0,0,0,0,1,0,1
"208",0,0,0,0,0,0,0,0,0,0
"209",1,0,0,0,1,0,0,0,0,0
"210",NA,NA,NA,NA,NA,0,NA,NA,0,1
"211",0,0,0,0,0,0,1,0,0,0
"212",0,0,0,0,0,0,1,1,0,1
"213",1,0,0,0,1,0,0,1,0,0
"214",1,0,0,0,0,NA,NA,NA,NA,NA
"215",1,1,0,0,1,0,1,0,1,1
"216",1,0,0,0,1,0,0,1,0,0
"217",1,1,0,1,1,1,0,0,1,0
"218",NA,NA,NA,NA,1,0,1,0,0,1
"219",1,0,0,1,1,0,0,1,0,0
"220",0,1,1,0,1,0,0,0,0,0
"221",1,0,1,0,0,0,1,1,0,1
"222",1,0,0,1,0,0,1,0,0,0
"223",0,0,0,0,0,0,1,0,0,1
"224",1,0,0,0,1,0,1,0,0,1
"225",1,0,0,1,1,0,0,0,0,1
"226",1,0,0,0,1,0,1,0,0,0
"227",1,1,1,1,0,0,1,0,1,0
"228",0,0,1,0,0,0,0,0,0,0
"229",0,0,1,0,1,0,0,0,0,0
"230",0,0,1,1,1,0,0,0,0,0
