"T001","T002","T003","T004","T005","T006","T007","T008","T009","T010","T011","T012","T013","T014","T015","T016","T017","T018","T019","T020","T021","T022","T023","T024","T025"
"a","",NA,16,"b","a","c","c","abcdef","b","c","a","c","b","c","d","b","a","b","","","","","",""
"c","d",1215,8,"c","a","d","a","cde","b","c","a","c","b","c","d","e","c","b","d","c","b","c","a","b"
"b","a",1215,16,"c","a","d","a","cf","b","c","d","c","b","d","d","e","b","a","d","b","d","a","b","d"
"b","e",1215,23,"b","a","c","c","abcdf","a","c","d","c","a","d","c","d","b","c","d","a","b","a","d","b"
"a","d",1215,16,"c","b","c","d","abcdef","b","c","a","c","d","c","a","a","b","c","d","","","","",""
"c","d",NA,18,"d","c","d","b","abcdf","a","c","b","c","c","d","b","e","b","a","d","c","c","c","c","d"
"a","b",810,8,"d","b","c","a","abcdef","a","c","a","d","b","a","d","a","b","c","d","","","","",""
"a","d",532,16,"b","d","b","c","ac","b","c","b","d","a","c","b","a","b","b","d","b","b","c","b","b"
"c","d",810,16,"b","c","a","a","acdf","b","c","c","c","b","a","c","e","b","b","d","c","a","d","c","c"
"b","d",1215,64,"c","a","d","b","de","b","c","b","a","b","c","","e","b","b","d","c","b","d","b","b"
"a","a",1215,8,"d","a","d","a","bf","a","c","c","c","b","c","d","e","b","c","d","c","a","d","d","c"
"a","d",1215,16,"d","a","d","a","adf","a","c","c","d","b","a","c","d","c","c","b","c","d","d","",""
"a","d",820,16,"c","d","d","a","abcef","b","c","b","d","b","c","e","e","b","c","","","","","",""
"a","e",1215,8,"c","b","d","c","acdf","a","c","a","b","d","abcd","d","e","a","c","d","b","c","c","c","b"
"c","c",725,16,"d","c","d","c","c","b","c","d","c","b","b","c","e","b","c","d","c","b","c","c","b"
"b","d",1215,15,"c","a","c","a","bc","a","c","d","d","b","abcd","d","a","a","b","","","","","",""
"b","d",1215,11,"c","d","d","a","abcdef","a","c","b","c","b","c","d","e","b","b","d","d","c","b","b","b"
"b","c",1215,8,"c","a","c","c","cf","d","a","c","d","b","a","e","d","b","b","d","b","c","b","a","c"
"a","b",695,24,"c","b","d","c","df","b","c","c","b","b","c","a","b","b","b","b","b","a","d","b","b"
"a","a",1215,31,"c","a","a","a","b","b","c","d","c","b","d","e","c","b","c","d","b","c","c","c","a"
"b","d",1215,8,"c","a","c","a","bde","a","c","c","a","b","c","e","a","a","b","d","","","","",""
"b","d",506,16,"c","b","d","c","adf","a","d","a","d","b","a","c","e","d","c","d","d","c","a","b","c"
"c","e",NA,8,"d","b","b","b","acf","a","a","a","d","b","a","e","d","","","b","d","c","b","c","c"
"a","d",1215,31,"a","a","d","a","adf","c","a","c","d","","c","d","a","b","c","b","a","","b","a","b"
"b","a",1209,4,"c","b","c","b","bdf","a","c","a","a","b","c","b","e","b","b","d","a","a","b","b","c"
"b","",NA,NA,"","","","","","","","","","","","","","","","","","","","",""
"b","d",10,NA,"c","c","b","b","a","ac","","","","","","","","","","","","","","",""
"a","b",NA,NA,"","c","b","b","d","b","c","","","","","","","","","","","c","","c","b"
"","d",NA,NA,"c","b","","","","","","","","","","","","","","","","","","",""
"b","e",NA,6,"d","b","a","a","adf","b","","","","","","","","","","","","","","",""
"b","c",NA,NA,"c","b","b","b","b","a","b","a","","","","","","","","","","","","",""
