"","Model","Node","NStates","State","Link","LinkScale","RecursiveRulesGeometric","ExplicitGeometric","AlgebraRulesGeometric","VerbalRulesGeometric","InduceRulesGeometric","VisualGeometric","ModelGeometric","TableGeometric","ExtendGeometric","ExamplesGeometric","CommonRatio","DistinguishTypes","SolveGeometricProblems","SolveSequenceProblems","Rules","A.RecursiveRulesGeometric","A.ExplicitGeometric","A.AlgebraRulesGeometric","A.VerbalRulesGeometric","A.InduceRulesGeometric","A.VisualGeometric","A.ModelGeometric","A.TableGeometric","A.ExtendGeometric","A.ExamplesGeometric","A.CommonRatio","A.DistinguishTypes","A.SolveGeometricProblems","A.SolveSequenceProblems","A","B.RecursiveRulesGeometric","B.ExplicitGeometric","B.AlgebraRulesGeometric","B.VerbalRulesGeometric","B.InduceRulesGeometric","B.VisualGeometric","B.ModelGeometric","B.TableGeometric","B.ExtendGeometric","B.ExamplesGeometric","B.CommonRatio","B.DistinguishTypes","B.SolveGeometricProblems","B.SolveSequenceProblems","B","PriorWeight"
"tVisExtGeo1a","ACEDmotif","tVisExtGeo1a",2,"Yes","partialCredit",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,4.79328387848227,NA,NA,1.08685434545731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.793244893491551,"10"
"tVerbRuleExtModGeo2a","ACEDmotif","tVerbRuleExtModGeo2a",2,"Yes","partialCredit",NA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,1.2,NA,NA,0.8,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022314355131421,"10"
"tVerbRuleExtModGeo1b","ACEDmotif","tVerbRuleExtModGeo1b",2,"Yes","partialCredit",NA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,1.21402741994278,NA,NA,0.525001888280368,NA,0.624156559279128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269215714715286,"10"
"tVerbRuleExtModGeo1a","ACEDmotif","tVerbRuleExtModGeo1a",2,"Yes","partialCredit",NA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,1.25365771860041,NA,NA,0.583886691448704,NA,0.656084895514443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215280806498927,"10"
"tTableExtGeo3b","ACEDmotif","tTableExtGeo3b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,0.813371493606541,1.03294299454224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17777777777778,"10"
"tTableExtGeo3a","ACEDmotif","tTableExtGeo3a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,0.984905769957922,0.71675579114448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43827160493827,"10"
"tTableExtGeo2b","ACEDmotif","tTableExtGeo2b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,1.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089257420525684,"10"
"tTableExtGeo2a","ACEDmotif","tTableExtGeo2a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,1.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770352058879494,"10"
"tTableExtGeo1b","ACEDmotif","tTableExtGeo1b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,1.21041530997508,0.962898162373929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20454822692698,"10"
"tTableExtGeo1a","ACEDmotif","tTableExtGeo1a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,1.24067413621629,0.814492370580969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4131,"10"
"tModExtTableGeo3b","ACEDmotif","tModExtTableGeo3b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,1.5788497203326,0.739879050572964,0.807535266371257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.031525,"10"
"tModExtTableGeo3a","ACEDmotif","tModExtTableGeo3a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,1.2,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,"10"
"tModExtTableGeo2b","ACEDmotif","tModExtTableGeo2b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,1.56706143256465,1.22984402589989,1.55076572320447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"10"
"tModExtTableGeo2a","ACEDmotif","tModExtTableGeo2a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,1.49489540630504,0.8,1.46219804196172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"10"
"tModExtTableGeo1b","ACEDmotif","tModExtTableGeo1b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,0.831266878231517,0.636376073443661,1.29792564961005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388413622326156,"10"
"tModExtTableGeo1a","ACEDmotif","tModExtTableGeo1a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,0.896109991580487,0.729148632589084,1.66788134201502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.130658409724724,"10"
"tExtGeo3b","ACEDmotif","tExtGeo3b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,0.857134734533279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234936577734374,"10"
"tExtGeo3a","ACEDmotif","tExtGeo3a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,1.03003197324996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0920834942030083,"10"
"tExtGeo2c","ACEDmotif","tExtGeo2c",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,0.818730753077982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487179275,"10"
"tExtGeo2a","ACEDmotif","tExtGeo2a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,0.951229424500714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0529284105865,"10"
"tExtGeo1c","ACEDmotif","tExtGeo1c",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,0.949159634391782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2290484375,"10"
"tExtGeo1a","ACEDmotif","tExtGeo1a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,1.16183424272828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.972,"10"
"tExamplesGeo3b","ACEDmotif","tExamplesGeo3b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78827237471261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9086570625,"10"
"tExamplesGeo3a","ACEDmotif","tExamplesGeo3a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00085738510491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459270468749999,"10"
"tExamplesGeo2b","ACEDmotif","tExamplesGeo2b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86310136557051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61056975,"10"
"tExamplesGeo2a","ACEDmotif","tExamplesGeo2a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86286628803128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42275776220703,"10"
"tExamplesGeo1b","ACEDmotif","tExamplesGeo1b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52337573402086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3296415,"10"
"tExamplesGeo1a","ACEDmotif","tExamplesGeo1a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9659330606705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333408300781251,"10"
"tCommonRatio3b","ACEDmotif","tCommonRatio3b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.331,"10"
"tCommonRatio3a","ACEDmotif","tCommonRatio3a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90483741803596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.452,"10"
"tCommonRatio2b","ACEDmotif","tCommonRatio2b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42618065428148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39366,"10"
"tCommonRatio2a","ACEDmotif","tCommonRatio2a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05127109637602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170248488454088,"10"
"tCommonRatio1b","ACEDmotif","tCommonRatio1b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66529119494589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05,"10"
"tCommonRatio1a","ACEDmotif","tCommonRatio1a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46228458943422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344373768,"10"
"tSolveGeoProblems3b","ACEDmotif","tSolveGeoProblems3b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616997303763245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807617187500001,"10"
"tSolveGeoProblems3a","ACEDmotif","tSolveGeoProblems3a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633098724420045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416796874999999,"10"
"tSolveGeoProblems2b","ACEDmotif","tSolveGeoProblems2b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00626957200376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4275,"10"
"tSolveGeoProblems2a","ACEDmotif","tSolveGeoProblems2a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818730753077982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,"10"
"tSolveGeoProblems1b","ACEDmotif","tSolveGeoProblems1b",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90483741803596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,"10"
"tSolveGeoProblems1a","ACEDmotif","tSolveGeoProblems1a",2,"Yes","partialCredit",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""Compensatory""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05127109637602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35,"10"
