"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S089","s02-17",0.224,0.494,0.283,0.941,"M",0.667,0.251,0.082,1.585,"H",0.205,0.292,0.504,0.701,"L",0.075,0.245,0.68,0.395,"L",0.002,0.026,0.971,0.0309999999999999,"L",0.835,0.159,0.006,1.829,"H",0.084,0.275,0.641,0.443,"L",0.235,0.416,0.349,0.887,"M",0.405,0.375,0.221,1.184,"H",0.151,0.304,0.545,0.606,"L",0.03,0.202,0.768,0.262,"L"
"S090","s02-18",0,0.005,0.995,0.00499999999999989,"L",0.156,0.581,0.263,0.893,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.969,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.176,0.679,0.145,1.031,"M",0.003,0.055,0.943,0.0600000000000001,"L",0.089,0.443,0.468,0.621,"L",0.267,0.406,0.327,0.941,"M",0.011,0.158,0.831,0.18,"L",0.001,0.044,0.956,0.0449999999999999,"L"
"S079","s02-19",0.044,0.391,0.566,0.478,"L",0.447,0.398,0.156,1.291,"H",0.154,0.264,0.582,0.572,"L",0.278,0.353,0.368,0.91,"L",0,0.006,0.994,0.00600000000000001,"L",0.858,0.14,0.002,1.856,"H",0.027,0.154,0.819,0.207,"L",0.094,0.443,0.463,0.631,"L",0.02,0.16,0.82,0.2,"L",0.033,0.19,0.777,0.257,"L",0.017,0.157,0.826,0.19,"L"
"S113","s03-01",0.841,0.157,0.002,1.839,"H",0.994,0.005,0,1.994,"H",0.294,0.332,0.375,0.919,"L",0.759,0.212,0.029,1.731,"H",0.005,0.063,0.932,0.073,"L",0.999,0.001,0,1.999,"H",0.162,0.428,0.41,0.752,"M",0.665,0.294,0.041,1.624,"H",0.847,0.139,0.013,1.834,"H",0.363,0.35,0.287,1.076,"H",0.792,0.187,0.021,1.772,"H"
"S101","s03-02",0,0.004,0.996,0.004,"L",0.155,0.582,0.263,0.891,"M",0.098,0.227,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0,0.013,0.987,0.014,"L",0.322,0.616,0.061,1.261,"M",0.001,0.034,0.965,0.036,"L",0.088,0.443,0.469,0.619,"L",0.06,0.275,0.664,0.396,"L",0.002,0.073,0.925,0.077,"L",0.001,0.039,0.961,0.04,"L"
"S099","s03-03",0,0.046,0.953,0.0469999999999999,"L",0.395,0.516,0.088,1.307,"M",0.103,0.231,0.666,0.437,"L",0.001,0.036,0.962,0.0389999999999999,"L",0.007,0.082,0.911,0.097,"L",0.109,0.644,0.247,0.863,"M",0,0.009,0.99,0.01,"L",0.021,0.26,0.719,0.302,"L",0.083,0.306,0.61,0.473,"L",0.003,0.083,0.914,0.0900000000000001,"L",0.001,0.053,0.946,0.0549999999999999,"L"
"S111","s03-04",0,0.008,0.992,0.00800000000000001,"L",0.374,0.534,0.092,1.282,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.016,0.984,0.0169999999999999,"L",0.428,0.539,0.033,1.394,"M",0.001,0.035,0.964,0.0369999999999999,"L",0.543,0.396,0.061,1.483,"H",0.009,0.123,0.868,0.142,"L",0.003,0.074,0.923,0.0800000000000001,"L",0,0.036,0.963,0.0369999999999999,"L"
"S114","s03-05",0.33,0.603,0.067,1.262,"M",0.911,0.081,0.008,1.903,"H",0.24,0.312,0.447,0.793,"L",0.041,0.237,0.722,0.319,"L",0.002,0.032,0.966,0.036,"L",0.973,0.026,0,1.973,"H",0.151,0.358,0.491,0.66,"L",0.586,0.36,0.054,1.533,"H",0.824,0.158,0.017,1.807,"H",0.089,0.244,0.668,0.421,"L",0.043,0.251,0.706,0.337,"L"
"S102","s03-06",0.01,0.411,0.579,0.43,"L",0.893,0.105,0.003,1.89,"H",0.149,0.262,0.589,0.561,"L",0.027,0.183,0.79,0.238,"L",0,0.014,0.985,0.0149999999999999,"L",0.757,0.236,0.007,1.751,"H",0.019,0.137,0.844,0.175,"L",0.09,0.443,0.466,0.624,"L",0.705,0.246,0.049,1.656,"H",0.007,0.097,0.896,0.111,"L",0.002,0.066,0.932,0.0700000000000001,"L"
"S098","s03-07",0,0.057,0.943,0.0580000000000001,"L",0.401,0.511,0.087,1.314,"M",0.104,0.232,0.664,0.441,"L",0.001,0.038,0.961,0.04,"L",0.001,0.026,0.974,0.0269999999999999,"L",0.621,0.366,0.013,1.608,"H",0.008,0.086,0.906,0.103,"L",0.02,0.26,0.72,0.3,"L",0.008,0.115,0.876,0.132,"L",0.011,0.153,0.836,0.176,"L",0.169,0.429,0.402,0.768,"M"
