"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S256","s11-15",0,0.014,0.986,0.014,"L",0.162,0.578,0.261,0.901,"M",0.099,0.228,0.673,0.426,"L",0.004,0.079,0.917,0.087,"L",0,0.014,0.986,0.014,"L",0.034,0.521,0.444,0.59,"M",0,0.015,0.985,0.016,"L",0.089,0.443,0.468,0.621,"L",0.019,0.168,0.813,0.206,"L",0.007,0.129,0.864,0.143,"L",0.004,0.109,0.887,0.117,"L"
"S284","s12-01",0,0.002,0.998,0.002,"L",0.154,0.582,0.264,0.89,"M",0.098,0.227,0.675,0.423,"L",0.001,0.03,0.969,0.032,"L",0,0.013,0.987,0.0129999999999999,"L",0.044,0.581,0.375,0.67,"M",0,0.009,0.991,0.0089999999999999,"L",0.02,0.259,0.721,0.298,"L",0.017,0.161,0.822,0.195,"L",0.002,0.081,0.916,0.0860000000000001,"L",0.001,0.053,0.946,0.0549999999999999,"L"
"S283","s12-02",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.014,0.986,0.014,"L",0.117,0.687,0.197,0.92,"M",0,0.014,0.986,0.014,"L",0.089,0.443,0.468,0.621,"L",0.013,0.143,0.844,0.169,"L",0.012,0.162,0.826,0.185,"L",0.001,0.046,0.953,0.0469999999999999,"L"
"S273","s12-03",0,0,1,0,"L",0.153,0.583,0.264,0.888,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.013,0.987,0.0129999999999999,"L",0.01,0.367,0.623,0.388,"L",0,0.01,0.99,0.01,"L",0.02,0.259,0.721,0.298,"L",0.022,0.18,0.798,0.224,"L",0.003,0.086,0.912,0.091,"L",0.001,0.06,0.938,0.0629999999999999,"L"
"S285","s12-04",0,0,1,0,"L",0.153,0.583,0.264,0.888,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.009,0.347,0.644,0.365,"L",0,0.022,0.977,0.0229999999999999,"L",0.019,0.259,0.721,0.298,"L",0.009,0.124,0.866,0.143,"L",0.003,0.086,0.912,0.091,"L",0.001,0.061,0.938,0.0640000000000001,"L"
"S272","s12-05",0,0.008,0.992,0.00800000000000001,"L",0.632,0.346,0.023,1.609,"H",0.098,0.228,0.674,0.424,"L",0.004,0.065,0.931,0.073,"L",0.003,0.038,0.959,0.044,"L",0.031,0.443,0.525,0.506,"L",0,0.014,0.986,0.0149999999999999,"L",0.19,0.433,0.377,0.813,"M",0.007,0.094,0.899,0.107,"L",0.006,0.097,0.897,0.108,"L",0.001,0.06,0.939,0.0629999999999999,"L"
"S274","s12-06",0,0.005,0.995,0.00499999999999989,"L",0.155,0.581,0.263,0.892,"M",0.098,0.228,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.044,0.566,0.39,0.654,"M",0.002,0.042,0.956,0.046,"L",0.088,0.443,0.469,0.619,"L",0.103,0.329,0.568,0.534,"L",0.003,0.082,0.916,0.087,"L",0.001,0.053,0.946,0.0549999999999999,"L"
"S281","s12-07",0,0.039,0.961,0.04,"L",0.391,0.52,0.089,1.302,"M",0.102,0.23,0.667,0.435,"L",0.014,0.099,0.887,0.126,"L",0.001,0.019,0.98,0.022,"L",0.054,0.556,0.39,0.664,"M",0.001,0.021,0.979,0.022,"L",0.192,0.432,0.376,0.815,"M",0.003,0.073,0.924,0.0800000000000001,"L",0.018,0.178,0.804,0.214,"L",0.009,0.145,0.846,0.163,"L"
"S276","s12-08",0,0.005,0.995,0.00499999999999989,"L",0.409,0.49,0.101,1.307,"M",0.098,0.228,0.674,0.424,"L",0.004,0.065,0.931,0.0720000000000001,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.121,0.622,0.258,0.863,"M",0,0.012,0.988,0.012,"L",0.188,0.433,0.379,0.809,"M",0.108,0.326,0.566,0.542,"L",0.004,0.09,0.906,0.0980000000000001,"L",0.001,0.05,0.949,0.052,"L"
"S275","s12-09",0,0,1,0,"L",0.153,0.583,0.264,0.888,"M",0.097,0.227,0.675,0.422,"L",0.002,0.054,0.944,0.0580000000000001,"L",0.001,0.018,0.982,0.0189999999999999,"L",0.008,0.294,0.699,0.309,"L",0,0.012,0.988,0.012,"L",0.188,0.433,0.379,0.809,"M",0.006,0.091,0.904,0.102,"L",0.005,0.099,0.896,0.109,"L",0.001,0.065,0.934,0.0680000000000001,"L"
"S280","s12-10",0,0.01,0.99,0.01,"L",0.159,0.579,0.262,0.897,"M",0.099,0.228,0.673,0.425,"L",0.001,0.031,0.968,0.0329999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.248,0.611,0.141,1.107,"M",0.001,0.025,0.975,0.026,"L",0.02,0.259,0.721,0.299,"L",0.138,0.358,0.504,0.633,"L",0.011,0.136,0.854,0.157,"L",0.043,0.213,0.745,0.298,"L"
"S282","s12-11",0,0.01,0.99,0.01,"L",0.411,0.488,0.101,1.31,"M",0.099,0.228,0.673,0.425,"L",0.004,0.066,0.93,0.0740000000000001,"L",0.001,0.019,0.98,0.022,"L",0.062,0.574,0.364,0.699,"M",0.001,0.023,0.976,0.024,"L",0.192,0.432,0.376,0.815,"M",0.006,0.088,0.906,0.1,"L",0.021,0.188,0.791,0.231,"L",0.001,0.054,0.945,0.0569999999999999,"L"
"S270","s12-12",0.095,0.477,0.429,0.666,"M",0.693,0.266,0.041,1.652,"H",0.175,0.276,0.548,0.627,"L",0.061,0.206,0.733,0.328,"L",0.004,0.029,0.967,0.0369999999999999,"L",0.889,0.107,0.003,1.886,"H",0.015,0.132,0.852,0.163,"L",0.222,0.421,0.357,0.865,"M",0.172,0.337,0.491,0.681,"L",0.105,0.275,0.62,0.485,"L",0.149,0.327,0.524,0.624,"L"
"S269","s12-13",0.001,0.098,0.901,0.1,"L",0.425,0.492,0.084,1.341,"M",0.11,0.235,0.655,0.454,"L",0.009,0.086,0.905,0.104,"L",0.001,0.02,0.979,0.0229999999999999,"L",0.778,0.218,0.004,1.775,"H",0.001,0.019,0.98,0.02,"L",0.193,0.431,0.375,0.818,"M",0.049,0.244,0.707,0.342,"L",0.023,0.167,0.81,0.212,"L",0.003,0.075,0.922,0.0820000000000001,"L"
"S278","s12-14",0,0.003,0.997,0.00299999999999989,"L",0.371,0.536,0.092,1.279,"M",0.098,0.227,0.675,0.423,"L",0.001,0.03,0.969,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.015,0.413,0.572,0.443,"L",0,0.017,0.983,0.0169999999999999,"L",0.089,0.443,0.468,0.621,"L",0.003,0.074,0.923,0.0800000000000001,"L",0.014,0.175,0.811,0.203,"L",0.001,0.059,0.94,0.0609999999999999,"L"
"S279","s12-15",0,0.014,0.986,0.014,"L",0.572,0.374,0.053,1.519,"H",0.099,0.228,0.673,0.426,"L",0.011,0.093,0.897,0.114,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.26,0.582,0.158,1.101,"M",0.001,0.019,0.98,0.02,"L",0.188,0.433,0.379,0.809,"M",0.03,0.166,0.804,0.226,"L",0.004,0.086,0.91,0.0940000000000001,"L",0.005,0.115,0.88,0.126,"L"
"S271","s12-16",0.004,0.067,0.929,0.0760000000000001,"L",0.2,0.553,0.247,0.954,"M",0.106,0.233,0.66,0.446,"L",0.002,0.041,0.957,0.044,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.42,0.507,0.073,1.347,"M",0.002,0.034,0.964,0.0369999999999999,"L",0.277,0.516,0.207,1.07,"M",0.079,0.233,0.688,0.391,"L",0.022,0.147,0.831,0.19,"L",0.06,0.224,0.716,0.345,"L"
"S277","s12-17",0,0,1,0,"L",0.153,0.583,0.264,0.888,"M",0.097,0.227,0.675,0.422,"L",0.004,0.075,0.921,0.0820000000000001,"L",0.002,0.037,0.961,0.0409999999999999,"L",0.01,0.367,0.623,0.387,"L",0,0.01,0.99,0.01,"L",0.273,0.519,0.208,1.065,"M",0.022,0.181,0.798,0.224,"L",0.004,0.089,0.907,0.097,"L",0.001,0.06,0.938,0.0629999999999999,"L"
"S298","s13-01",0.012,0.228,0.76,0.252,"L",0.672,0.3,0.028,1.644,"H",0.128,0.247,0.625,0.502,"L",0.069,0.242,0.689,0.38,"L",0.001,0.019,0.98,0.0209999999999999,"L",0.318,0.531,0.152,1.166,"M",0.007,0.079,0.914,0.093,"L",0.191,0.432,0.377,0.814,"M",0.072,0.266,0.662,0.411,"L",0.007,0.097,0.895,0.112,"L",0.009,0.119,0.871,0.138,"L"
"S308","s13-02",0,0.011,0.988,0.012,"L",0.16,0.579,0.261,0.898,"M",0.099,0.228,0.673,0.426,"L",0.023,0.176,0.8,0.223,"L",0,0.013,0.986,0.014,"L",0.013,0.369,0.619,0.394,"L",0,0.01,0.99,0.01,"L",0.088,0.443,0.469,0.619,"L",0.022,0.182,0.795,0.227,"L",0.003,0.087,0.91,0.0940000000000001,"L",0.001,0.062,0.937,0.0649999999999999,"L"
"S299","s13-03",0,0.016,0.984,0.016,"L",0.378,0.53,0.091,1.287,"M",0.099,0.228,0.672,0.427,"L",0.004,0.079,0.916,0.0880000000000001,"L",0,0.013,0.987,0.0129999999999999,"L",0.114,0.64,0.246,0.869,"M",0,0.01,0.99,0.01,"L",0.02,0.259,0.721,0.298,"L",0.015,0.15,0.836,0.179,"L",0.003,0.086,0.911,0.0920000000000001,"L",0.012,0.132,0.857,0.155,"L"
"S302","s13-04",0.053,0.37,0.577,0.476,"L",0.441,0.401,0.158,1.283,"H",0.154,0.263,0.583,0.57,"L",0.039,0.19,0.771,0.267,"L",0,0.014,0.985,0.0149999999999999,"L",0.896,0.103,0.001,1.895,"H",0.043,0.18,0.777,0.265,"L",0.282,0.514,0.205,1.077,"M",0.686,0.257,0.057,1.629,"H",0.021,0.142,0.837,0.184,"L",0.152,0.368,0.481,0.671,"L"
"S307","s13-05",0,0.01,0.99,0.01,"L",0.375,0.533,0.092,1.284,"M",0.099,0.228,0.673,0.425,"L",0.001,0.031,0.968,0.0329999999999999,"L",0,0.006,0.994,0.00600000000000001,"L",0.245,0.661,0.094,1.152,"M",0.015,0.123,0.862,0.154,"L",0.02,0.259,0.721,0.298,"L",0.031,0.209,0.761,0.27,"L",0.005,0.111,0.884,0.121,"L",0.002,0.081,0.917,0.0860000000000001,"L"
"S291","s13-06",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.009,0.347,0.644,0.366,"L",0,0.023,0.977,0.0229999999999999,"L",0.088,0.443,0.469,0.619,"L",0.01,0.125,0.866,0.144,"L",0.003,0.086,0.911,0.0920000000000001,"L",0.001,0.061,0.938,0.0640000000000001,"L"
"S297","s13-07",0,0.009,0.991,0.0089999999999999,"L",0.158,0.58,0.262,0.896,"M",0.098,0.228,0.674,0.425,"L",0.001,0.031,0.968,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.14,0.682,0.178,0.961,"M",0.001,0.039,0.96,0.042,"L",0.019,0.259,0.721,0.298,"L",0.08,0.304,0.617,0.463,"L",0.002,0.077,0.921,0.081,"L",0.001,0.046,0.953,0.0469999999999999,"L"
"S296","s13-08",0.008,0.24,0.752,0.255,"L",0.714,0.269,0.017,1.697,"H",0.128,0.248,0.624,0.504,"L",0.069,0.245,0.687,0.382,"L",0.006,0.067,0.927,0.0780000000000001,"L",0.529,0.441,0.031,1.498,"H",0.009,0.091,0.9,0.109,"L",0.022,0.261,0.717,0.305,"L",0.267,0.399,0.334,0.934,"M",0.012,0.132,0.855,0.157,"L",0.006,0.106,0.888,0.118,"L"
"S292","s13-09",0,0.007,0.993,0.0069999999999999,"L",0.157,0.58,0.263,0.894,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0.001,0.028,0.971,0.03,"L",0.098,0.666,0.236,0.862,"M",0,0.021,0.979,0.022,"L",0.091,0.443,0.466,0.624,"L",0.014,0.148,0.838,0.176,"L",0.016,0.181,0.804,0.212,"L",0.012,0.172,0.816,0.196,"L"
"S304","s13-10",0.43,0.487,0.083,1.347,"M",0.946,0.049,0.005,1.941,"H",0.247,0.314,0.439,0.809,"L",0.176,0.329,0.494,0.682,"L",0.016,0.06,0.924,0.0920000000000001,"L",0.919,0.076,0.005,1.913,"H",0.067,0.293,0.639,0.428,"L",0.243,0.412,0.345,0.898,"M",0.484,0.343,0.173,1.311,"H",0.088,0.249,0.663,0.425,"L",0.345,0.374,0.28,1.065,"M"
"S301","s13-11",0,0.028,0.972,0.0289999999999999,"L",0.171,0.572,0.257,0.914,"M",0.101,0.23,0.67,0.431,"L",0.001,0.034,0.965,0.036,"L",0,0.018,0.981,0.0189999999999999,"L",0.281,0.635,0.084,1.198,"M",0.002,0.043,0.955,0.0469999999999999,"L",0.02,0.26,0.72,0.3,"L",0.028,0.199,0.773,0.255,"L",0.013,0.168,0.819,0.194,"L",0.053,0.312,0.635,0.418,"L"
"S305","s13-12",0.557,0.414,0.029,1.528,"H",0.99,0.01,0,1.99,"H",0.265,0.322,0.413,0.852,"L",0.42,0.387,0.194,1.226,"H",0,0.012,0.988,0.012,"L",0.987,0.013,0,1.987,"H",0.078,0.318,0.604,0.475,"L",0.311,0.495,0.193,1.118,"M",0.29,0.392,0.318,0.972,"M",0.075,0.242,0.683,0.391,"L",0.518,0.305,0.177,1.341,"H"
"S294","s13-13",0,0.007,0.993,0.0069999999999999,"L",0.157,0.58,0.263,0.894,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.011,0.988,0.012,"L",0.114,0.68,0.206,0.908,"M",0,0.022,0.978,0.0229999999999999,"L",0.091,0.443,0.466,0.624,"L",0.013,0.145,0.842,0.171,"L",0.027,0.234,0.738,0.289,"L",0.003,0.091,0.906,0.097,"L"
"S295","s13-14",0,0.045,0.954,0.046,"L",0.183,0.564,0.253,0.93,"M",0.103,0.231,0.666,0.437,"L",0.001,0.036,0.963,0.038,"L",0,0.014,0.986,0.0149999999999999,"L",0.228,0.66,0.113,1.115,"M",0,0.015,0.985,0.0149999999999999,"L",0.09,0.443,0.467,0.623,"L",0.066,0.284,0.65,0.417,"L",0.013,0.162,0.824,0.189,"L",0.001,0.046,0.953,0.0469999999999999,"L"
"S303","s13-15",0,0.012,0.988,0.012,"L",0.16,0.579,0.261,0.899,"M",0.099,0.228,0.673,0.426,"L",0.002,0.056,0.942,0.0609999999999999,"L",0.001,0.018,0.98,0.0209999999999999,"L",0.181,0.686,0.132,1.049,"M",0.005,0.068,0.927,0.077,"L",0.19,0.433,0.377,0.813,"M",0.013,0.145,0.842,0.172,"L",0.013,0.162,0.825,0.189,"L",0.001,0.045,0.954,0.0469999999999999,"L"
"S306","s13-16",0,0.038,0.962,0.038,"L",0.391,0.52,0.089,1.301,"M",0.102,0.23,0.668,0.434,"L",0.003,0.061,0.935,0.0680000000000001,"L",0.001,0.018,0.982,0.0189999999999999,"L",0.464,0.507,0.029,1.434,"M",0,0.019,0.981,0.02,"L",0.188,0.433,0.379,0.809,"M",0.023,0.182,0.795,0.227,"L",0.004,0.083,0.913,0.0920000000000001,"L",0.001,0.04,0.96,0.0409999999999999,"L"
"S300","s13-17",0,0.019,0.981,0.0189999999999999,"L",0.165,0.575,0.26,0.906,"M",0.1,0.229,0.672,0.428,"L",0.001,0.033,0.967,0.034,"L",0,0.013,0.987,0.0129999999999999,"L",0.274,0.641,0.085,1.188,"M",0.001,0.025,0.974,0.026,"L",0.02,0.259,0.721,0.299,"L",0.13,0.355,0.516,0.614,"L",0.005,0.115,0.88,0.126,"L",0.003,0.082,0.916,0.087,"L"
"S293","s13-18",0,0.003,0.997,0.00299999999999989,"L",0.154,0.582,0.264,0.89,"M",0.098,0.227,0.675,0.423,"L",0.001,0.03,0.969,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.068,0.642,0.29,0.778,"M",0,0.009,0.991,0.0089999999999999,"L",0.019,0.259,0.721,0.298,"L",0.002,0.062,0.935,0.0669999999999999,"L",0.002,0.08,0.918,0.0840000000000001,"L",0.001,0.05,0.949,0.052,"L"
"S316","s14-01",0.519,0.414,0.067,1.452,"H",0.956,0.04,0.004,1.952,"H",0.257,0.318,0.425,0.832,"L",0.32,0.331,0.349,0.971,"L",0.012,0.052,0.936,0.0760000000000001,"L",0.982,0.017,0,1.982,"H",0.275,0.38,0.345,0.93,"M",0.27,0.402,0.328,0.942,"M",0.596,0.292,0.112,1.484,"H",0.21,0.317,0.473,0.737,"L",0.427,0.365,0.208,1.22,"H"
"S319","s14-02",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0.002,0.037,0.961,0.0409999999999999,"L",0.011,0.367,0.623,0.388,"L",0,0.01,0.99,0.01,"L",0.274,0.519,0.208,1.066,"M",0.022,0.181,0.798,0.224,"L",0.004,0.089,0.907,0.097,"L",0.001,0.061,0.938,0.0629999999999999,"L"
"S317","s14-03",0,0.046,0.954,0.0469999999999999,"L",0.395,0.516,0.088,1.307,"M",0.103,0.231,0.666,0.437,"L",0.001,0.036,0.963,0.038,"L",0.001,0.026,0.973,0.028,"L",0.342,0.596,0.062,1.28,"M",0.001,0.027,0.972,0.0289999999999999,"L",0.02,0.26,0.72,0.3,"L",0.127,0.351,0.523,0.604,"L",0.006,0.116,0.878,0.128,"L",0.003,0.082,0.915,0.0880000000000001,"L"
"S318","s14-04",0,0.034,0.966,0.034,"L",0.388,0.522,0.09,1.299,"M",0.101,0.23,0.669,0.433,"L",0.005,0.084,0.911,0.0940000000000001,"L",0.005,0.066,0.928,0.077,"L",0.178,0.674,0.148,1.03,"M",0.002,0.047,0.95,0.052,"L",0.021,0.261,0.718,0.304,"L",0.033,0.215,0.753,0.28,"L",0.016,0.177,0.807,0.209,"L",0.012,0.166,0.823,0.189,"L"
"S320","s14-05",0.058,0.282,0.66,0.398,"L",0.387,0.434,0.179,1.209,"M",0.144,0.257,0.6,0.544,"L",0.009,0.091,0.9,0.109,"L",0,0.008,0.992,0.00800000000000001,"L",0.629,0.345,0.026,1.602,"H",0.053,0.175,0.772,0.28,"L",0.28,0.514,0.205,1.075,"M",0.179,0.367,0.453,0.726,"L",0.024,0.128,0.848,0.176,"L",0.153,0.267,0.58,0.573,"L"
"S315","s14-06",0,0.014,0.986,0.0149999999999999,"L",0.162,0.577,0.261,0.901,"M",0.099,0.228,0.673,0.427,"L",0.001,0.032,0.967,0.0329999999999999,"L",0,0.013,0.987,0.014,"L",0.352,0.596,0.052,1.3,"M",0.001,0.037,0.961,0.04,"L",0.088,0.443,0.469,0.619,"L",0.01,0.13,0.859,0.151,"L",0.002,0.073,0.925,0.077,"L",0.004,0.1,0.896,0.108,"L"
"S334","s15-01",0.001,0.07,0.93,0.071,"L",0.653,0.326,0.021,1.632,"H",0.106,0.233,0.661,0.445,"L",0.034,0.194,0.772,0.262,"L",0.001,0.028,0.971,0.03,"L",0.446,0.517,0.037,1.409,"M",0.004,0.058,0.939,0.0649999999999999,"L",0.09,0.443,0.467,0.623,"L",0.229,0.398,0.373,0.856,"M",0.007,0.116,0.877,0.13,"L",0.003,0.081,0.916,0.087,"L"
"S324","s15-02",0,0.008,0.992,0.00800000000000001,"L",0.374,0.534,0.092,1.282,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.013,0.987,0.014,"L",0.324,0.614,0.061,1.263,"M",0.001,0.035,0.964,0.0369999999999999,"L",0.088,0.443,0.469,0.619,"L",0.061,0.276,0.663,0.397,"L",0.002,0.073,0.925,0.077,"L",0.001,0.039,0.96,0.04,"L"
"S325","s15-03",0.93,0.07,0,1.929,"H",0.999,0.001,0,1.999,"H",0.302,0.334,0.364,0.938,"L",0.791,0.191,0.019,1.772,"H",0,0.01,0.99,0.01,"L",1,0,0,2,"H",0.47,0.407,0.122,1.348,"H",0.039,0.279,0.682,0.358,"L",0.77,0.201,0.029,1.741,"H",0.38,0.395,0.225,1.155,"M",0.385,0.433,0.182,1.203,"M"
"S328","s15-04",0.043,0.54,0.417,0.626,"M",0.829,0.161,0.01,1.819,"H",0.172,0.276,0.552,0.62,"L",0.143,0.339,0.518,0.625,"L",0,0.007,0.993,0.0069999999999999,"L",0.699,0.283,0.017,1.682,"H",0.002,0.053,0.945,0.0580000000000001,"L",0.28,0.515,0.206,1.074,"M",0.487,0.362,0.151,1.336,"H",0.015,0.123,0.862,0.153,"L",0.004,0.09,0.906,0.099,"L"
"S327","s15-05",0,0.002,0.998,0.002,"L",0.371,0.537,0.092,1.279,"M",0.098,0.227,0.675,0.423,"L",0.001,0.03,0.969,0.032,"L",0.001,0.017,0.983,0.018,"L",0.068,0.634,0.298,0.77,"M",0.001,0.032,0.968,0.0329999999999999,"L",0.089,0.443,0.467,0.622,"L",0.039,0.231,0.729,0.31,"L",0.012,0.166,0.822,0.191,"L",0.001,0.05,0.949,0.0509999999999999,"L"
"S323","s15-06",0.843,0.153,0.003,1.84,"H",0.994,0.006,0,1.994,"H",0.294,0.332,0.374,0.92,"L",0.76,0.211,0.029,1.731,"H",0.021,0.117,0.861,0.16,"L",0.996,0.004,0,1.996,"H",0.365,0.435,0.2,1.165,"M",0.659,0.299,0.042,1.617,"H",0.754,0.212,0.035,1.719,"H",0.258,0.343,0.399,0.859,"L",0.733,0.233,0.034,1.7,"H"
"S336","s15-07",0,0.003,0.997,0.00299999999999989,"L",0.154,0.582,0.264,0.891,"M",0.098,0.227,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0,0.013,0.987,0.0129999999999999,"L",0.004,0.242,0.754,0.25,"L",0,0.011,0.989,0.0109999999999999,"L",0.02,0.259,0.721,0.298,"L",0.004,0.081,0.916,0.0880000000000001,"L",0.003,0.088,0.909,0.0940000000000001,"L",0.001,0.065,0.934,0.0680000000000001,"L"
"S333","s15-08",0.483,0.488,0.029,1.455,"M",0.989,0.011,0,1.989,"H",0.259,0.32,0.422,0.837,"L",0.056,0.28,0.664,0.392,"L",0.005,0.06,0.934,0.071,"L",0.992,0.008,0,1.992,"H",0.265,0.407,0.328,0.937,"M",0.633,0.321,0.046,1.586,"H",0.845,0.141,0.014,1.831,"H",0.253,0.331,0.416,0.837,"L",0.414,0.403,0.183,1.232,"H"
"S332","s15-09",0.459,0.471,0.07,1.388,"M",0.851,0.123,0.026,1.825,"H",0.251,0.316,0.433,0.818,"L",0.053,0.268,0.679,0.375,"L",0.001,0.026,0.973,0.028,"L",0.995,0.005,0,1.995,"H",0.254,0.393,0.353,0.901,"M",0.326,0.486,0.188,1.139,"M",0.634,0.285,0.081,1.553,"H",0.123,0.288,0.589,0.534,"L",0.783,0.191,0.027,1.756,"H"
"S331","s15-10",0.001,0.1,0.899,0.102,"L",0.426,0.491,0.084,1.342,"M",0.11,0.235,0.655,0.455,"L",0.002,0.044,0.954,0.048,"L",0.001,0.026,0.973,0.028,"L",0.523,0.452,0.024,1.499,"H",0.013,0.104,0.883,0.13,"L",0.02,0.26,0.719,0.301,"L",0.011,0.128,0.861,0.149,"L",0.015,0.166,0.819,0.195,"L",0.054,0.298,0.648,0.407,"L"
"S329","s15-11",0,0.004,0.996,0.004,"L",0.372,0.536,0.092,1.28,"M",0.098,0.228,0.675,0.423,"L",0.004,0.076,0.92,0.0840000000000001,"L",0,0.011,0.989,0.0109999999999999,"L",0.097,0.667,0.236,0.86,"M",0,0.021,0.979,0.0209999999999999,"L",0.089,0.443,0.467,0.622,"L",0.014,0.148,0.838,0.175,"L",0.015,0.18,0.805,0.209,"L",0.012,0.172,0.817,0.195,"L"
"S326","s15-12",0.146,0.534,0.32,0.826,"M",0.862,0.127,0.011,1.851,"H",0.193,0.287,0.52,0.673,"L",0.082,0.237,0.681,0.401,"L",0.019,0.066,0.915,0.104,"L",0.913,0.084,0.003,1.91,"H",0.089,0.274,0.637,0.452,"L",0.256,0.406,0.337,0.919,"M",0.356,0.316,0.327,1.029,"H",0.178,0.299,0.523,0.654,"L",0.353,0.39,0.258,1.095,"M"
"S338","s15-13",0,0.024,0.976,0.024,"L",0.168,0.573,0.258,0.91,"M",0.1,0.229,0.671,0.43,"L",0.005,0.081,0.914,0.091,"L",0.001,0.017,0.983,0.018,"L",0.296,0.63,0.074,1.223,"M",0.004,0.062,0.934,0.0700000000000001,"L",0.09,0.443,0.467,0.622,"L",0.065,0.281,0.654,0.411,"L",0.011,0.155,0.834,0.178,"L",0.001,0.041,0.958,0.042,"L"
"S335","s15-14",0.291,0.635,0.074,1.217,"M",0.965,0.034,0.001,1.964,"H",0.236,0.311,0.453,0.783,"L",0.037,0.227,0.736,0.301,"L",0.015,0.083,0.902,0.113,"L",0.97,0.03,0,1.97,"H",0.103,0.331,0.566,0.537,"L",0.367,0.46,0.173,1.194,"M",0.46,0.372,0.169,1.291,"H",0.223,0.324,0.454,0.769,"L",0.037,0.237,0.726,0.311,"L"
"S337","s15-15",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.038,0.564,0.398,0.641,"M",0,0.02,0.979,0.0209999999999999,"L",0.088,0.443,0.469,0.619,"L",0.007,0.11,0.883,0.125,"L",0.003,0.082,0.915,0.087,"L",0.001,0.053,0.946,0.0549999999999999,"L"
"S330","s15-16",0.219,0.458,0.323,0.896,"M",0.64,0.268,0.092,1.547,"H",0.199,0.288,0.512,0.687,"L",0.095,0.278,0.627,0.468,"L",0.001,0.026,0.973,0.0289999999999999,"L",0.937,0.062,0.001,1.936,"H",0.071,0.253,0.676,0.395,"L",0.321,0.489,0.19,1.131,"M",0.379,0.37,0.251,1.128,"H",0.14,0.289,0.571,0.569,"L",0.264,0.387,0.349,0.914,"M"
"S091","s02-01",0,0.019,0.981,0.0189999999999999,"L",0.165,0.576,0.26,0.905,"M",0.1,0.229,0.672,0.428,"L",0.001,0.033,0.967,0.034,"L",0,0.014,0.985,0.0149999999999999,"L",0.565,0.418,0.018,1.547,"H",0.005,0.074,0.921,0.085,"L",0.09,0.443,0.466,0.624,"L",0.193,0.389,0.418,0.775,"L",0.023,0.211,0.766,0.256,"L",0.002,0.067,0.932,0.0700000000000001,"L"
"S075","s02-02",0.562,0.39,0.048,1.515,"H",0.953,0.043,0.004,1.949,"H",0.263,0.32,0.416,0.847,"L",0.418,0.381,0.201,1.218,"H",0.032,0.113,0.856,0.176,"L",0.975,0.025,0,1.975,"H",0.3,0.408,0.293,1.007,"M",0.163,0.426,0.411,0.752,"M",0.669,0.265,0.066,1.602,"H",0.155,0.31,0.534,0.621,"L",0.374,0.405,0.221,1.153,"M"
