ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
S211,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
S209,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,-999
S215,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
S225,0,0,1,0,1,0,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S217,0,-999,-999,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,-999,-999,-999,-999,-999,-999
S219,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0
S221,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
S227,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
S223,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,-999,-999,-999,-999,-999
S213,0,1,-999,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
S237,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,-999,-999,-999,-999,-999
S235,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
S233,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1
S245,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,-999,0,0,1,1,0,0,1,0,0
S231,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
S229,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999
S239,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,-999,-999,-999,-999,-999,-999
S244,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
S247,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
S243,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,-999,-999,-999,-999,-999,-999
S267,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
S250,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
S252,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
S265,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
S254,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,-999,-999,-999,-999,-999
S258,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
S256,0,0,-999,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-999,-999,0,0,1,0,0,1
S262,0,1,1,0,0,1,1,1,0,0,0,0,0,-999,1,0,1,0,0,0,1,-999,0,1,0
S260,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
S287,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S276,1,1,0,-999,1,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S274,0,0,-999,-999,-999,0,0,0,0,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,0
S282,-999,1,-999,-999,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S284,1,0,-999,0,0,0,0,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S289,1,0,-999,-999,1,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S280,0,0,-999,0,0,0,0,1,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S272,-999,-999,0,0,0,0,1,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S270,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S278,1,0,-999,-999,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
S294,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
S292,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
S296,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
S306,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,-999,-999,-999,-999,-999
S308,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
S312,0,0,0,0,-999,-999,1,-999,-999,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-999,-999
S302,0,0,1,1,-999,-999,1,-999,0,0,1,1,0,0,0,-999,-999,0,0,1,-999,0,0,0,1
S304,0,1,-999,0,-999,1,0,0,0,1,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999
S298,0,1,1,0,1,1,0,-999,0,1,1,0,0,1,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999
S310,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
S300,0,1,-999,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
S322,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,-999,0,0,0,1
S318,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
S316,0,0,0,0,-999,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
S320,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
S324,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
S326,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
S340,1,0,0,0,-999,0,1,0,0,1,1,0,1,1,1,0,0,0,0,-999,-999,-999,-999,-999,-999
S328,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,-999,-999,-999,-999,-999
S336,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
S342,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,-999,-999,-999,-999
S332,0,1,-999,0,0,1,1,0,-999,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1
S330,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
S334,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S338,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
