"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S187","s07-04","c07","Male","7","Part 1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,62,NA,"adaptive_full","Adaptive","Full"
"S188","s07-10","c07","Female","3","Part 1",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,"linear_full","Linear","Full"
"S189","s07-12","c07","Male","7","Part 1",41,39,-2,1,5,5,NA,NA,5,5,0,5,4,NA,NA,-0.86,-1.24,NA,NA,41,NA,NA,39,FALSE,61,0,"adaptive_acc","Adaptive","Accuracy"
"S194","s08-04","c08","Female","3","Part 1",41,51,10,1,5,8,NA,NA,5,8,3,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S195","s08-05","c08","Female","3","Part 1",51,44,-7,2,NA,NA,8,6,8,6,-2,NA,NA,8,6,NA,NA,0.11,-1.05,NA,51,44,NA,FALSE,62,-2,"adaptive_full","Adaptive","Full"
"S196","s08-11","c08","Female","7","Part 1",36,45,9,1,3,6,NA,NA,3,6,3,3,6,NA,NA,-1.42,-0.74,NA,NA,36,NA,NA,45,FALSE,NA,3,"linear_full","Linear","Full"
"S197","s08-03","c08","Female","6","Part 1",36,44,8,2,NA,NA,3,6,3,6,3,NA,NA,3,6,NA,NA,-1.39,-1.05,NA,36,44,NA,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S198","s08-02","c08","Male","7","Part 1",44,48,4,1,6,9,NA,NA,6,9,3,6,7,NA,NA,-0.58,-0.49,NA,NA,44,NA,NA,48,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S199","s08-07","c08","Male","3","Part 1",48,47,-1,2,NA,NA,8,7,8,7,-1,NA,NA,7,7,NA,NA,-0.19,-0.78,NA,48,47,NA,FALSE,NA,-1,"linear_full","Linear","Full"
"S200","s08-10","c08","Male","2","Part 1",44,45,1,1,6,7,NA,NA,6,7,1,6,6,NA,NA,-0.58,-0.74,NA,NA,44,NA,NA,45,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
