"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S242","s10-15","c10","linear_full","Linear","Full",63,32,31,0,2425,0.16,0.785,0.054,1.106,"M",0.835,0.153,0.012,1.823,"H",0.227,0.309,0.464,0.762,"L",0.002,0.081,0.917,0.085,"L",0.085,0.312,0.603,0.481,"L",0.989,0.011,0,1.989,"H",0.39,0.447,0.163,1.227,"M",0.037,0.267,0.695,0.342,"L",0.093,0.426,0.481,0.612,"L",0.178,0.398,0.424,0.753,"L",0.145,0.493,0.363,0.782,"M"
"S237","s10-16","c10","adaptive_acc","Adaptive","Accuracy",63,26,23,14,NA,0.006,0.307,0.688,0.318,"L",0.257,0.507,0.236,1.022,"M",0.136,0.253,0.611,0.525,"L",0.009,0.138,0.853,0.156,"L",0.004,0.038,0.959,0.0449999999999999,"L",0.987,0.013,0,1.987,"H",0.194,0.374,0.433,0.761,"L",0.354,0.492,0.154,1.2,"M",0.405,0.461,0.134,1.271,"M",0.089,0.353,0.558,0.53,"L",0.108,0.434,0.458,0.65,"L"
"S260","s11-01","c11","linear_full","Linear","Full",63,29,34,0,2032,0.027,0.614,0.36,0.667,"M",0.619,0.328,0.053,1.567,"H",0.178,0.28,0.542,0.636,"L",0.206,0.45,0.344,0.863,"M",0,0.006,0.994,0.00600000000000001,"L",0.809,0.189,0.002,1.807,"H",0.103,0.364,0.533,0.57,"L",0.626,0.35,0.024,1.602,"H",0.216,0.496,0.288,0.928,"M",0.05,0.258,0.692,0.358,"L",0,0.023,0.977,0.0229999999999999,"L"
"S257","s11-02","c11","linear_full","Linear","Full",63,20,43,0,1141,0,0.041,0.959,0.0409999999999999,"L",0.456,0.504,0.04,1.416,"M",0.102,0.231,0.667,0.435,"L",0.055,0.314,0.631,0.423,"L",0,0.001,0.999,0.00099999999999989,"L",0.245,0.722,0.032,1.213,"M",0,0.01,0.989,0.0109999999999999,"L",0.038,0.422,0.54,0.498,"L",0.009,0.171,0.82,0.19,"L",0,0.03,0.969,0.0309999999999999,"L",0,0.016,0.984,0.016,"L"
"S258","s11-03","c11","adaptive_acc","Adaptive","Accuracy",63,24,39,0,1485,0.004,0.404,0.592,0.412,"L",0.468,0.449,0.083,1.385,"H",0.147,0.261,0.592,0.555,"L",0,0.031,0.969,0.0309999999999999,"L",0,0.001,0.999,0.00099999999999989,"L",0.977,0.023,0,1.977,"H",0.091,0.324,0.586,0.505,"L",0.008,0.228,0.763,0.245,"L",0.057,0.366,0.577,0.48,"L",0.013,0.18,0.807,0.206,"L",0.282,0.49,0.228,1.053,"M"
"S249","s11-04","c11","adaptive_acc","Adaptive","Accuracy",63,15,48,0,2046,0,0,1,0,"L",0.072,0.599,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.001,0.033,0.967,0.034,"L",0.139,0.797,0.064,1.075,"M",0.001,0.043,0.956,0.0449999999999999,"L",0.01,0.232,0.759,0.251,"L",0.001,0.045,0.955,0.046,"L",0.14,0.495,0.365,0.775,"M",0.009,0.188,0.803,0.206,"L"
"S253","s11-05","c11","adaptive_full","Adaptive","Full",63,20,43,0,2658,0,0.006,0.994,0.00600000000000001,"L",0.075,0.598,0.327,0.749,"M",0.098,0.228,0.674,0.424,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0.787,0.212,0.001,1.786,"H",0.001,0.046,0.953,0.0489999999999999,"L",0.039,0.422,0.539,0.5,"L",0.034,0.285,0.68,0.354,"L",0.006,0.149,0.845,0.16,"L",0.004,0.119,0.877,0.127,"L"
"S263","s11-06","c11","linear_full","Linear","Full",63,28,35,0,2405,0.008,0.497,0.495,0.512,"M",0.53,0.399,0.071,1.459,"H",0.159,0.269,0.572,0.587,"L",0,0.036,0.963,0.0369999999999999,"L",0.001,0.035,0.964,0.0369999999999999,"L",0.648,0.345,0.007,1.641,"H",0.011,0.147,0.843,0.168,"L",0.817,0.178,0.005,1.812,"H",0.391,0.464,0.145,1.246,"M",0.02,0.17,0.811,0.209,"L",0,0.023,0.977,0.0229999999999999,"L"
"S252","s11-07","c11","adaptive_acc","Adaptive","Accuracy",63,7,56,0,1136,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.0089999999999999,"L",0,0.105,0.895,0.105,"L",0,0.009,0.991,0.0089999999999999,"L",0.008,0.227,0.765,0.243,"L",0.025,0.268,0.707,0.318,"L",0.001,0.05,0.95,0.0509999999999999,"L",0,0.036,0.964,0.036,"L"
"S255","s11-08","c11","adaptive_acc","Adaptive","Accuracy",63,34,29,0,2190,0.607,0.391,0.001,1.606,"H",0.974,0.025,0,1.974,"H",0.273,0.325,0.402,0.872,"L",0.872,0.123,0.005,1.868,"H",0.001,0.036,0.963,0.038,"L",0.977,0.023,0,1.977,"H",0.669,0.297,0.035,1.634,"H",0.082,0.437,0.481,0.601,"L",0.087,0.406,0.507,0.579,"L",0.485,0.386,0.129,1.357,"H",0.024,0.267,0.709,0.315,"L"
"S254","s11-09","c11","linear_full","Linear","Full",63,46,17,0,2688,0.985,0.015,0,1.985,"H",1,0,0,2,"H",0.307,0.336,0.357,0.95,"L",0.934,0.065,0.001,1.933,"H",0.014,0.145,0.841,0.173,"L",1,0,0,2,"H",0.415,0.475,0.11,1.304,"M",0.278,0.51,0.212,1.066,"M",0.899,0.098,0.003,1.896,"H",0.365,0.422,0.212,1.153,"M",0.673,0.299,0.028,1.645,"H"
"S261","s11-10","c11","adaptive_acc","Adaptive","Accuracy",63,23,40,0,1765,0,0.153,0.847,0.154,"L",0.725,0.267,0.008,1.717,"H",0.116,0.24,0.644,0.472,"L",0,0.017,0.982,0.018,"L",0.001,0.038,0.961,0.04,"L",0.121,0.748,0.131,0.99,"M",0.001,0.042,0.957,0.044,"L",0.147,0.576,0.277,0.869,"M",0.016,0.202,0.782,0.234,"L",0.024,0.238,0.738,0.286,"L",0.131,0.473,0.396,0.735,"M"
"S262","s11-11","c11","adaptive_full","Adaptive","Full",63,18,45,0,1539,0,0.089,0.911,0.089,"L",0.264,0.611,0.125,1.139,"M",0.108,0.234,0.657,0.451,"L",0,0.014,0.986,0.014,"L",0,0.003,0.997,0.00299999999999989,"L",0.477,0.513,0.01,1.467,"M",0,0.007,0.993,0.0069999999999999,"L",0.008,0.227,0.765,0.243,"L",0.002,0.088,0.91,0.0920000000000001,"L",0,0.041,0.958,0.042,"L",0.048,0.349,0.603,0.445,"L"
"S251","s11-12","c11","linear_full","Linear","Full",63,26,37,0,1356,0,0.189,0.81,0.19,"L",0.53,0.436,0.034,1.496,"H",0.12,0.243,0.637,0.484,"L",0,0.019,0.981,0.02,"L",0.101,0.321,0.578,0.523,"L",0.2,0.715,0.085,1.115,"M",0.162,0.365,0.473,0.69,"L",0.09,0.425,0.484,0.606,"L",0.276,0.483,0.241,1.036,"M",0.11,0.376,0.514,0.595,"L",0.001,0.069,0.929,0.0720000000000001,"L"
"S250","s11-13","c11","adaptive_full","Adaptive","Full",63,26,37,0,1754,0.007,0.636,0.357,0.65,"M",0.87,0.127,0.003,1.866,"H",0.176,0.28,0.544,0.632,"L",0,0.043,0.957,0.044,"L",0.002,0.051,0.947,0.054,"L",0.739,0.257,0.004,1.735,"H",0.053,0.306,0.642,0.411,"L",0.044,0.424,0.532,0.511,"L",0.041,0.324,0.635,0.406,"L",0.022,0.211,0.767,0.255,"L",0.001,0.05,0.949,0.0509999999999999,"L"
"S259","s11-14","c11","adaptive_full","Adaptive","Full",63,35,27,1,1916,0.267,0.723,0.011,1.256,"M",0.985,0.015,0,1.985,"H",0.242,0.315,0.443,0.798,"L",0.177,0.484,0.339,0.838,"M",0.007,0.106,0.887,0.121,"L",0.971,0.029,0,1.971,"H",0.596,0.345,0.059,1.537,"H",0.454,0.466,0.08,1.374,"M",0.118,0.446,0.436,0.682,"M",0.247,0.397,0.356,0.891,"M",0.001,0.062,0.937,0.0649999999999999,"L"
"S256","s11-15","c11","adaptive_full","Adaptive","Full",63,13,49,0,2325,0,0.002,0.998,0.002,"L",0.073,0.599,0.328,0.745,"M",0.098,0.227,0.675,0.422,"L",0,0.025,0.975,0.026,"L",0.001,0.031,0.968,0.0329999999999999,"L",0,0.159,0.841,0.16,"L",0,0.018,0.982,0.018,"L",0.041,0.423,0.536,0.504,"L",0.001,0.07,0.929,0.0720000000000001,"L",0.029,0.297,0.673,0.356,"L",0.001,0.067,0.932,0.069,"L"
"S284","s12-01","c12","adaptive_acc","Adaptive","Accuracy",63,6,57,0,2122,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0.001,0.221,0.778,0.222,"L",0,0.004,0.996,0.004,"L",0.001,0.101,0.897,0.104,"L",0.001,0.067,0.932,0.0700000000000001,"L",0.001,0.048,0.952,0.0489999999999999,"L",0,0.033,0.966,0.034,"L"
"S283","s12-02","c12","linear_full","Linear","Full",63,13,50,0,1390,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.022,0.978,0.0229999999999999,"L",0.016,0.661,0.322,0.694,"M",0,0.028,0.972,0.0289999999999999,"L",0.145,0.577,0.278,0.867,"M",0.002,0.071,0.927,0.075,"L",0.037,0.314,0.65,0.387,"L",0,0.022,0.978,0.022,"L"
"S273","s12-03","c12","adaptive_full","Adaptive","Full",63,7,56,0,2368,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0,0.186,0.814,0.187,"L",0,0.011,0.989,0.0109999999999999,"L",0.008,0.228,0.764,0.244,"L",0.001,0.069,0.93,0.071,"L",0.012,0.21,0.778,0.234,"L",0,0.033,0.966,0.034,"L"
"S285","s12-04","c12","adaptive_full","Adaptive","Full",63,5,58,0,1926,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0,0.152,0.848,0.152,"L",0,0.027,0.973,0.0269999999999999,"L",0.001,0.102,0.897,0.104,"L",0.001,0.045,0.954,0.046,"L",0.012,0.211,0.777,0.235,"L",0,0.034,0.966,0.0349999999999999,"L"
"S272","s12-05","c12","adaptive_acc","Adaptive","Accuracy",63,8,22,33,NA,0,0.012,0.988,0.012,"L",0.39,0.548,0.062,1.327,"M",0.099,0.228,0.673,0.426,"L",0.004,0.066,0.93,0.075,"L",0.004,0.038,0.958,0.0449999999999999,"L",0.009,0.395,0.596,0.413,"L",0,0.018,0.982,0.0189999999999999,"L",0.191,0.432,0.377,0.815,"M",0.001,0.045,0.955,0.046,"L",0.008,0.13,0.862,0.146,"L",0.003,0.094,0.904,0.099,"L"
"S274","s12-06","c12","linear_full","Linear","Full",63,10,53,0,1345,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.025,0.975,0.0249999999999999,"L",0,0.007,0.993,0.0069999999999999,"L",0,0.17,0.829,0.171,"L",0.004,0.083,0.913,0.091,"L",0.04,0.423,0.537,0.504,"L",0.01,0.176,0.814,0.196,"L",0.048,0.357,0.595,0.452,"L",0,0.032,0.967,0.0329999999999999,"L"
"S281","s12-07","c12","adaptive_acc","Adaptive","Accuracy",63,9,30,23,NA,0,0.004,0.996,0.004,"L",0.075,0.598,0.327,0.747,"M",0.098,0.228,0.675,0.423,"L",0.003,0.052,0.946,0.0569999999999999,"L",0.001,0.019,0.98,0.022,"L",0.005,0.435,0.56,0.445,"L",0,0.015,0.985,0.016,"L",0.192,0.432,0.376,0.816,"M",0.001,0.066,0.933,0.069,"L",0.021,0.224,0.755,0.266,"L",0.01,0.189,0.801,0.21,"L"
"S276","s12-08","c12","adaptive_full","Adaptive","Full",63,5,24,34,NA,0,0,1,0,"L",0.259,0.57,0.171,1.088,"M",0.097,0.227,0.675,0.422,"L",0.004,0.064,0.933,0.071,"L",0.001,0.017,0.982,0.018,"L",0.018,0.498,0.484,0.534,"M",0,0.012,0.988,0.012,"L",0.187,0.434,0.379,0.807,"M",0.324,0.459,0.218,1.106,"M",0.001,0.056,0.943,0.0580000000000001,"L",0,0.031,0.968,0.032,"L"
"S275","s12-09","c12","adaptive_acc","Adaptive","Accuracy",63,2,36,25,NA,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.032,0.968,0.0329999999999999,"L",0.001,0.017,0.982,0.0189999999999999,"L",0,0.059,0.941,0.0589999999999999,"L",0,0.014,0.986,0.014,"L",0.187,0.434,0.379,0.808,"M",0.001,0.064,0.935,0.0669999999999999,"L",0.002,0.07,0.928,0.0740000000000001,"L",0,0.039,0.96,0.04,"L"
"S280","s12-10","c12","linear_full","Linear","Full",63,9,41,13,2502,0,0.001,0.999,0.00099999999999989,"L",0.073,0.599,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.025,0.975,0.026,"L",0,0.003,0.997,0.00299999999999989,"L",0.022,0.517,0.462,0.56,"M",0.002,0.049,0.949,0.0529999999999999,"L",0.008,0.228,0.764,0.244,"L",0.037,0.286,0.677,0.36,"L",0.027,0.227,0.745,0.282,"L",0.04,0.211,0.749,0.292,"L"
"S282","s12-11","c12","adaptive_full","Adaptive","Full",63,7,23,33,NA,0,0.054,0.946,0.054,"L",0.45,0.484,0.066,1.384,"M",0.104,0.232,0.665,0.439,"L",0.006,0.076,0.918,0.089,"L",0.001,0.02,0.979,0.0229999999999999,"L",0.012,0.396,0.592,0.419,"L",0.001,0.025,0.975,0.026,"L",0.195,0.431,0.374,0.821,"M",0.001,0.055,0.943,0.0580000000000001,"L",0.034,0.248,0.717,0.317,"L",0,0.038,0.962,0.038,"L"
"S270","s12-12","c12","adaptive_full","Adaptive","Full",63,12,22,29,NA,0.002,0.164,0.834,0.168,"L",0.17,0.55,0.279,0.891,"M",0.118,0.241,0.641,0.476,"L",0.013,0.102,0.886,0.127,"L",0.004,0.038,0.957,0.0469999999999999,"L",0.801,0.194,0.005,1.797,"H",0.002,0.053,0.946,0.056,"L",0.205,0.427,0.368,0.838,"M",0.049,0.297,0.654,0.395,"L",0.055,0.309,0.636,0.42,"L",0.015,0.169,0.817,0.198,"L"
"S269","s12-13","c12","adaptive_acc","Adaptive","Accuracy",63,16,22,25,NA,0.004,0.329,0.667,0.337,"L",0.42,0.487,0.093,1.327,"M",0.138,0.255,0.607,0.531,"L",0.022,0.14,0.838,0.184,"L",0.002,0.022,0.976,0.026,"L",0.618,0.375,0.007,1.61,"H",0,0.014,0.986,0.0149999999999999,"L",0.198,0.43,0.372,0.826,"M",0.047,0.323,0.631,0.416,"L",0.027,0.191,0.782,0.245,"L",0.001,0.042,0.958,0.0429999999999999,"L"
"S278","s12-14","c12","adaptive_acc","Adaptive","Accuracy",63,9,54,0,1683,0,0,1,0,"L",0.072,0.599,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.006,0.994,0.00600000000000001,"L",0,0.066,0.934,0.0669999999999999,"L",0.001,0.042,0.957,0.044,"L",0.04,0.423,0.537,0.502,"L",0.001,0.047,0.952,0.0489999999999999,"L",0.03,0.304,0.666,0.364,"L",0.001,0.07,0.929,0.0720000000000001,"L"
"S279","s12-15","c12","adaptive_full","Adaptive","Full",63,3,17,43,2687,0,0.001,0.999,0.00099999999999989,"L",0.567,0.379,0.054,1.513,"H",0.097,0.227,0.675,0.422,"L",0.009,0.089,0.902,0.107,"L",0.003,0.033,0.964,0.0389999999999999,"L",0.054,0.576,0.37,0.684,"M",0,0.02,0.98,0.02,"L",0.189,0.433,0.378,0.811,"M",0.012,0.124,0.863,0.149,"L",0.003,0.08,0.918,0.085,"L",0.024,0.269,0.707,0.317,"L"
"S271","s12-16","c12","linear_full","Linear","Full",63,11,29,23,2578,0,0.023,0.976,0.024,"L",0.086,0.593,0.321,0.764,"M",0.1,0.229,0.671,0.43,"L",0,0.011,0.989,0.0109999999999999,"L",0,0.011,0.988,0.012,"L",0.24,0.661,0.098,1.142,"M",0.001,0.027,0.972,0.028,"L",0.039,0.422,0.539,0.5,"L",0.069,0.243,0.687,0.382,"L",0.012,0.138,0.85,0.163,"L",0.046,0.216,0.738,0.308,"L"
"S277","s12-17","c12","linear_full","Linear","Full",63,13,50,0,2389,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.025,0.975,0.0249999999999999,"L",0,0.026,0.974,0.026,"L",0.001,0.208,0.792,0.209,"L",0,0.014,0.986,0.014,"L",0.348,0.55,0.101,1.247,"M",0.022,0.25,0.728,0.295,"L",0.004,0.107,0.89,0.114,"L",0,0.033,0.967,0.034,"L"
"S298","s13-01","c13","adaptive_full","Adaptive","Full",63,19,21,23,NA,0.078,0.842,0.08,0.997,"M",0.937,0.061,0.002,1.934,"H",0.216,0.304,0.479,0.737,"L",0.541,0.386,0.072,1.469,"H",0.001,0.017,0.983,0.018,"L",0.915,0.083,0.001,1.914,"H",0.052,0.337,0.611,0.441,"L",0.202,0.428,0.369,0.833,"M",0.028,0.258,0.715,0.313,"L",0.023,0.19,0.787,0.237,"L",0.008,0.146,0.846,0.162,"L"
"S308","s13-02","c13","linear_full","Linear","Full",63,10,53,0,1246,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0.045,0.304,0.651,0.394,"L",0,0.003,0.997,0.00299999999999989,"L",0,0.039,0.961,0.0389999999999999,"L",0,0.004,0.996,0.004,"L",0.038,0.422,0.54,0.498,"L",0.001,0.077,0.922,0.0800000000000001,"L",0.001,0.052,0.948,0.0529999999999999,"L",0,0.037,0.962,0.038,"L"
"S299","s13-03","c13","linear_full","Linear","Full",63,18,39,6,NA,0,0.012,0.988,0.012,"L",0.079,0.596,0.325,0.754,"M",0.099,0.228,0.673,0.426,"L",0.009,0.154,0.837,0.173,"L",0.002,0.056,0.942,0.0600000000000001,"L",0.062,0.756,0.182,0.88,"M",0,0.005,0.995,0.00499999999999989,"L",0.039,0.422,0.538,0.501,"L",0,0.038,0.962,0.0389999999999999,"L",0.002,0.089,0.909,0.093,"L",0.01,0.126,0.864,0.146,"L"
"S302","s13-04","c13","linear_full","Linear","Full",63,28,35,0,1600,0.039,0.74,0.221,0.817,"M",0.71,0.256,0.035,1.675,"H",0.196,0.292,0.513,0.683,"L",0.005,0.126,0.869,0.136,"L",0,0.003,0.997,0.00299999999999989,"L",0.843,0.156,0.001,1.841,"H",0.012,0.174,0.814,0.198,"L",0.351,0.548,0.101,1.25,"M",0.905,0.092,0.002,1.903,"H",0.002,0.059,0.939,0.0629999999999999,"L",0.027,0.289,0.684,0.343,"L"
"S307","s13-05","c13","adaptive_full","Adaptive","Full",63,12,49,0,1553,0,0,1,0,"L",0.072,0.599,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.009,0.991,0.01,"L",0.031,0.746,0.223,0.807,"M",0.003,0.072,0.925,0.0780000000000001,"L",0.008,0.227,0.765,0.243,"L",0.001,0.067,0.932,0.0700000000000001,"L",0.002,0.086,0.913,0.089,"L",0.002,0.082,0.916,0.085,"L"
"S291","s13-06","c13","adaptive_acc","Adaptive","Accuracy",63,7,56,0,815,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.001,0.999,0.00099999999999989,"L",0,0.152,0.848,0.152,"L",0,0.027,0.973,0.0269999999999999,"L",0.039,0.422,0.539,0.5,"L",0.001,0.045,0.954,0.046,"L",0.013,0.212,0.775,0.238,"L",0,0.034,0.966,0.0349999999999999,"L"
"S297","s13-07","c13","adaptive_acc","Adaptive","Accuracy",63,17,46,0,1413,0,0.004,0.996,0.004,"L",0.02,0.402,0.578,0.442,"L",0.098,0.227,0.675,0.423,"L",0,0.01,0.99,0.01,"L",0.003,0.08,0.916,0.087,"L",0.066,0.776,0.159,0.907,"M",0.024,0.185,0.792,0.232,"L",0.011,0.234,0.755,0.255,"L",0.033,0.282,0.685,0.348,"L",0.145,0.488,0.367,0.777,"M",0,0.033,0.966,0.034,"L"
"S296","s13-08","c13","linear_full","Linear","Full",63,24,39,0,1324,0,0.102,0.898,0.103,"L",0.71,0.282,0.008,1.702,"H",0.11,0.236,0.655,0.455,"L",0.069,0.329,0.602,0.467,"L",0.001,0.044,0.955,0.0449999999999999,"L",0.324,0.648,0.028,1.297,"M",0,0.028,0.972,0.0289999999999999,"L",0.001,0.102,0.897,0.104,"L",0.046,0.328,0.626,0.42,"L",0.003,0.103,0.894,0.109,"L",0,0.034,0.966,0.034,"L"
"S292","s13-09","c13","adaptive_full","Adaptive","Full",63,12,51,0,1235,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.0169999999999999,"L",0.032,0.74,0.228,0.804,"M",0,0.023,0.977,0.0229999999999999,"L",0.008,0.228,0.764,0.244,"L",0.008,0.153,0.839,0.169,"L",0.008,0.18,0.812,0.196,"L",0.002,0.081,0.917,0.085,"L"
"S304","s13-10","c13","adaptive_full","Adaptive","Full",63,12,18,33,NA,0.041,0.77,0.189,0.852,"M",0.89,0.099,0.011,1.879,"H",0.2,0.295,0.506,0.694,"L",0.017,0.18,0.803,0.214,"L",0.003,0.032,0.965,0.038,"L",0.856,0.138,0.006,1.85,"H",0.017,0.204,0.779,0.238,"L",0.199,0.429,0.372,0.827,"M",0.325,0.47,0.205,1.12,"M",0.01,0.131,0.86,0.15,"L",0.06,0.332,0.608,0.451,"L"
"S301","s13-11","c13","adaptive_full","Adaptive","Full",63,14,47,0,1880,0,0.005,0.995,0.00499999999999989,"L",0.02,0.402,0.578,0.442,"L",0.098,0.228,0.675,0.423,"L",0,0.01,0.99,0.01,"L",0.001,0.047,0.951,0.05,"L",0.045,0.746,0.209,0.836,"M",0,0.02,0.98,0.02,"L",0.001,0.102,0.897,0.105,"L",0.04,0.301,0.659,0.382,"L",0.008,0.174,0.819,0.189,"L",0.01,0.188,0.802,0.208,"L"
"S305","s13-12","c13","linear_full","Linear","Full",63,37,19,7,NA,0.962,0.038,0,1.962,"H",1,0,0,2,"H",0.305,0.335,0.36,0.945,"L",0.835,0.159,0.006,1.829,"H",0,0.007,0.993,0.0069999999999999,"L",1,0,0,2,"H",0.121,0.483,0.397,0.724,"M",0.656,0.322,0.022,1.635,"H",0.409,0.46,0.131,1.278,"M",0.081,0.308,0.611,0.469,"L",0.827,0.153,0.02,1.807,"H"
"S294","s13-13","c13","adaptive_acc","Adaptive","Accuracy",63,14,49,0,1307,0,0.012,0.988,0.012,"L",0.023,0.403,0.574,0.448,"L",0.099,0.228,0.673,0.426,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0.065,0.804,0.131,0.934,"M",0,0.01,0.99,0.01,"L",0.008,0.228,0.764,0.244,"L",0.002,0.085,0.913,0.089,"L",0.015,0.228,0.758,0.257,"L",0,0.038,0.962,0.038,"L"
"S295","s13-14","c13","adaptive_full","Adaptive","Full",63,16,46,0,1572,0,0.007,0.993,0.0069999999999999,"L",0.021,0.403,0.576,0.444,"L",0.098,0.228,0.674,0.424,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0.081,0.775,0.144,0.937,"M",0,0.017,0.983,0.018,"L",0.143,0.578,0.279,0.863,"M",0.127,0.447,0.426,0.702,"M",0.029,0.289,0.683,0.346,"L",0,0.018,0.982,0.018,"L"
"S303","s13-15","c13","adaptive_acc","Adaptive","Accuracy",63,14,31,16,NA,0,0.015,0.985,0.0149999999999999,"L",0.024,0.403,0.573,0.451,"L",0.099,0.228,0.672,0.427,"L",0.001,0.034,0.966,0.0349999999999999,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.166,0.761,0.072,1.094,"M",0.003,0.068,0.929,0.0740000000000001,"L",0.187,0.434,0.379,0.808,"M",0.202,0.486,0.312,0.89,"M",0.002,0.082,0.916,0.087,"L",0.001,0.047,0.953,0.048,"L"
"S306","s13-16","c13","adaptive_acc","Adaptive","Accuracy",63,15,29,19,NA,0,0.13,0.87,0.131,"L",0.5,0.464,0.036,1.464,"H",0.113,0.238,0.649,0.464,"L",0.002,0.05,0.948,0.0529999999999999,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.152,0.76,0.087,1.065,"M",0,0.019,0.98,0.02,"L",0.188,0.434,0.379,0.809,"M",0.016,0.21,0.774,0.241,"L",0.001,0.05,0.949,0.052,"L",0,0.024,0.976,0.024,"L"
"S300","s13-17","c13","adaptive_acc","Adaptive","Accuracy",63,11,52,0,1674,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0.029,0.68,0.291,0.738,"M",0,0.011,0.989,0.0109999999999999,"L",0.001,0.101,0.897,0.104,"L",0.171,0.463,0.366,0.805,"M",0.004,0.123,0.873,0.131,"L",0,0.043,0.956,0.044,"L"
"S293","s13-18","c13","linear_full","Linear","Full",63,9,54,0,1399,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.003,0.997,0.00299999999999989,"L",0.009,0.58,0.411,0.599,"M",0,0.02,0.98,0.02,"L",0.001,0.102,0.897,0.104,"L",0,0.031,0.969,0.0309999999999999,"L",0.008,0.179,0.813,0.195,"L",0,0.025,0.975,0.0249999999999999,"L"
"S316","s14-01","c14","adaptive_full","Adaptive","Full",63,11,9,43,NA,0.147,0.751,0.102,1.045,"M",0.928,0.066,0.006,1.922,"H",0.22,0.304,0.476,0.744,"L",0.169,0.319,0.512,0.656,"L",0.005,0.032,0.963,0.042,"L",0.972,0.027,0,1.972,"H",0.257,0.416,0.326,0.931,"M",0.223,0.42,0.357,0.866,"M",0.479,0.407,0.115,1.364,"H",0.081,0.248,0.671,0.41,"L",0.104,0.386,0.509,0.595,"L"
"S319","s14-02","c14","adaptive_full","Adaptive","Full",63,18,45,0,2070,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.025,0.975,0.0249999999999999,"L",0.012,0.118,0.87,0.141,"L",0.007,0.5,0.493,0.514,"M",0.002,0.064,0.934,0.069,"L",0.371,0.532,0.097,1.274,"M",0.006,0.135,0.858,0.148,"L",0.034,0.266,0.7,0.334,"L",0.004,0.129,0.867,0.137,"L"
