"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S135","s04-15","c04","adaptive_full","Adaptive","Full",63,39,24,0,2035,0.878,0.122,0,1.878,"H",0.997,0.003,0,1.997,"H",0.297,0.333,0.37,0.928,"L",0.619,0.337,0.043,1.576,"H",0,0.032,0.968,0.032,"L",0.998,0.002,0,1.998,"H",0.648,0.32,0.032,1.616,"H",0.895,0.103,0.002,1.893,"H",0.025,0.265,0.71,0.314,"L",0.674,0.269,0.056,1.618,"H",0.255,0.515,0.23,1.025,"M"
"S131","s04-16","c04","adaptive_acc","Adaptive","Accuracy",63,37,26,0,2429,0.892,0.108,0,1.892,"H",0.997,0.003,0,1.997,"H",0.299,0.333,0.368,0.931,"L",0.814,0.176,0.009,1.805,"H",0.001,0.032,0.967,0.0329999999999999,"L",0.994,0.006,0,1.994,"H",0.5,0.421,0.079,1.421,"H",0.453,0.467,0.08,1.374,"M",0.13,0.459,0.41,0.72,"M",0.252,0.419,0.329,0.924,"M",0.5,0.419,0.081,1.419,"H"
"S119","s04-17","c04","adaptive_acc","Adaptive","Accuracy",63,28,35,0,1715,0.063,0.853,0.084,0.979,"M",0.952,0.048,0.001,1.951,"H",0.214,0.304,0.482,0.732,"L",0.006,0.149,0.845,0.161,"L",0,0.01,0.99,0.01,"L",0.969,0.031,0,1.969,"H",0.009,0.165,0.827,0.182,"L",0.065,0.433,0.503,0.562,"L",0,0.04,0.96,0.0409999999999999,"L",0.44,0.412,0.148,1.293,"H",0.215,0.53,0.255,0.96,"M"
"S133","s04-18","c04","linear_full","Linear","Full",63,37,26,0,2550,0.004,0.455,0.541,0.463,"L",0.815,0.18,0.005,1.81,"H",0.154,0.265,0.582,0.572,"L",0.05,0.304,0.647,0.403,"L",0.209,0.375,0.417,0.792,"L",0.957,0.043,0,1.957,"H",0.071,0.295,0.634,0.437,"L",0.247,0.522,0.231,1.017,"M",0.756,0.227,0.017,1.739,"H",0.033,0.193,0.774,0.26,"L",0.008,0.168,0.824,0.184,"L"
"S154","s05-01","c05","linear_full","Linear","Full",63,51,12,0,2693,0.983,0.017,0,1.983,"H",1,0,0,2,"H",0.307,0.336,0.358,0.949,"L",0.841,0.154,0.005,1.836,"H",0.583,0.339,0.078,1.504,"H",1,0,0,2,"H",0.447,0.461,0.091,1.356,"M",0.849,0.138,0.013,1.837,"H",0.964,0.035,0,1.964,"H",0.617,0.322,0.06,1.557,"H",0.848,0.146,0.005,1.843,"H"
"S156","s05-02","c05","adaptive_full","Adaptive","Full",63,40,22,1,2307,0.148,0.811,0.041,1.108,"M",0.99,0.01,0,1.99,"H",0.227,0.31,0.463,0.764,"L",0.577,0.367,0.056,1.521,"H",0.007,0.116,0.877,0.13,"L",0.986,0.014,0,1.986,"H",0.028,0.263,0.709,0.319,"L",0.858,0.138,0.003,1.855,"H",0.256,0.516,0.228,1.029,"M",0.276,0.393,0.331,0.945,"M",0.498,0.428,0.074,1.423,"H"
"S143","s05-03","c05","adaptive_acc","Adaptive","Accuracy",63,34,27,2,NA,0.926,0.074,0,1.926,"H",0.998,0.002,0,1.998,"H",0.302,0.334,0.364,0.937,"L",0.824,0.168,0.008,1.816,"H",0,0.015,0.985,0.0149999999999999,"L",0.999,0.001,0,1.999,"H",0.251,0.527,0.223,1.028,"M",0.002,0.107,0.891,0.111,"L",0.09,0.421,0.489,0.602,"L",0.085,0.366,0.55,0.535,"L",0.564,0.378,0.058,1.506,"H"
"S152","s05-04","c05","adaptive_acc","Adaptive","Accuracy",63,31,21,11,NA,0.749,0.25,0.001,1.748,"H",0.997,0.003,0,1.997,"H",0.286,0.329,0.385,0.901,"L",0.57,0.367,0.063,1.506,"H",0.005,0.052,0.943,0.0620000000000001,"L",0.996,0.004,0,1.996,"H",0.302,0.496,0.202,1.1,"M",0.003,0.11,0.887,0.116,"L",0.635,0.322,0.043,1.592,"H",0.127,0.399,0.474,0.653,"L",0.096,0.434,0.469,0.627,"L"
"S146","s05-05","c05","adaptive_acc","Adaptive","Accuracy",63,20,23,20,NA,0.043,0.736,0.221,0.822,"M",0.71,0.255,0.035,1.676,"H",0.196,0.292,0.512,0.684,"L",0.245,0.479,0.275,0.97,"M",0,0.014,0.985,0.0149999999999999,"L",0.94,0.059,0.001,1.939,"H",0.306,0.439,0.255,1.051,"M",0.201,0.429,0.37,0.831,"M",0.095,0.433,0.473,0.622,"L",0.027,0.214,0.759,0.269,"L",0.003,0.097,0.9,0.103,"L"
"S142","s05-06","c05","linear_full","Linear","Full",63,25,38,0,2482,0.001,0.225,0.774,0.227,"L",0.548,0.419,0.032,1.516,"H",0.125,0.246,0.629,0.496,"L",0.028,0.226,0.746,0.282,"L",0,0.008,0.992,0.00800000000000001,"L",0.448,0.534,0.018,1.43,"M",0.003,0.072,0.925,0.0780000000000001,"L",0.141,0.579,0.28,0.861,"M",0.091,0.411,0.499,0.592,"L",0.008,0.144,0.847,0.161,"L",0,0.019,0.981,0.0189999999999999,"L"
"S141","s05-07","c05","adaptive_full","Adaptive","Full",63,41,21,1,2343,0.983,0.017,0,1.983,"H",0.999,0.001,0,1.999,"H",0.307,0.336,0.358,0.949,"L",0.66,0.313,0.027,1.633,"H",0.008,0.145,0.847,0.161,"L",1,0,0,2,"H",0.165,0.507,0.328,0.837,"M",0.887,0.11,0.003,1.884,"H",0.587,0.359,0.055,1.532,"H",0.428,0.388,0.184,1.244,"H",0.773,0.215,0.013,1.76,"H"
"S145","s05-08","c05","linear_full","Linear","Full",63,19,44,0,2119,0,0.051,0.948,0.052,"L",0.461,0.5,0.039,1.421,"M",0.104,0.231,0.665,0.439,"L",0,0.031,0.969,0.032,"L",0,0.019,0.981,0.0189999999999999,"L",0.023,0.637,0.341,0.682,"M",0,0.01,0.99,0.01,"L",0.142,0.578,0.28,0.861,"M",0.001,0.047,0.952,0.0489999999999999,"L",0.011,0.183,0.806,0.206,"L",0,0.026,0.974,0.0269999999999999,"L"
"S148","s05-09","c05","linear_full","Linear","Full",63,40,23,0,1899,0.774,0.226,0.001,1.773,"H",0.998,0.002,0,1.998,"H",0.288,0.33,0.382,0.906,"L",0.579,0.362,0.059,1.52,"H",0.661,0.271,0.068,1.593,"H",0.989,0.011,0,1.989,"H",0.091,0.43,0.479,0.612,"L",0.198,0.374,0.429,0.769,"L",0.914,0.084,0.002,1.912,"H",0.451,0.378,0.171,1.28,"H",0.008,0.171,0.821,0.186,"L"
"S144","s05-10","c05","adaptive_full","Adaptive","Full",63,41,7,15,NA,0.995,0.005,0,1.995,"H",1,0,0,2,"H",0.308,0.336,0.356,0.952,"L",0.845,0.15,0.005,1.84,"H",0.58,0.309,0.111,1.468,"H",1,0,0,2,"H",0.677,0.3,0.023,1.654,"H",0.975,0.025,0,1.974,"H",0.974,0.026,0,1.974,"H",0.811,0.177,0.012,1.798,"H",0.452,0.457,0.092,1.36,"M"
"S140","s05-11","c05","adaptive_acc","Adaptive","Accuracy",63,15,17,31,NA,0.009,0.544,0.447,0.562,"M",0.841,0.152,0.007,1.834,"H",0.165,0.273,0.562,0.603,"L",0.035,0.19,0.774,0.261,"L",0.035,0.102,0.863,0.173,"L",0.725,0.261,0.014,1.711,"H",0.242,0.41,0.348,0.895,"M",0.269,0.401,0.331,0.938,"M",0.12,0.405,0.476,0.644,"L",0.191,0.404,0.405,0.786,"L",0.01,0.155,0.835,0.175,"L"
"S151","s05-12","c05","linear_full","Linear","Full",63,29,34,0,1898,0.217,0.755,0.028,1.188,"M",0.972,0.028,0,1.972,"H",0.235,0.312,0.453,0.782,"L",0.358,0.485,0.158,1.2,"M",0.001,0.036,0.963,0.0369999999999999,"L",0.489,0.455,0.056,1.433,"H",0.239,0.485,0.276,0.963,"M",0.01,0.232,0.758,0.252,"L",0.408,0.459,0.133,1.274,"M",0.037,0.26,0.703,0.334,"L",0.003,0.109,0.889,0.114,"L"
"S147","s05-13","c05","adaptive_full","Adaptive","Full",63,38,24,1,2473,0.957,0.043,0,1.957,"H",0.985,0.013,0.001,1.984,"H",0.305,0.335,0.361,0.944,"L",0.834,0.16,0.006,1.827,"H",0.001,0.048,0.951,0.0489999999999999,"L",1,0,0,2,"H",0.434,0.465,0.101,1.332,"M",0.735,0.249,0.016,1.719,"H",0.846,0.148,0.007,1.839,"H",0.455,0.384,0.162,1.293,"H",0.407,0.475,0.119,1.288,"M"
"S149","s05-14","c05","adaptive_acc","Adaptive","Accuracy",63,42,20,1,1915,0.743,0.257,0.001,1.742,"H",0.993,0.007,0,1.993,"H",0.285,0.329,0.386,0.9,"L",0.769,0.214,0.016,1.753,"H",0.067,0.356,0.577,0.491,"L",0.998,0.002,0,1.998,"H",0.404,0.463,0.133,1.27,"M",0.92,0.078,0.002,1.918,"H",0.607,0.341,0.052,1.556,"H",0.641,0.284,0.076,1.565,"H",0.007,0.163,0.83,0.177,"L"
"S155","s05-15","c05","adaptive_acc","Adaptive","Accuracy",63,28,31,4,NA,0.022,0.771,0.207,0.815,"M",0.914,0.084,0.002,1.912,"H",0.196,0.293,0.512,0.684,"L",0.021,0.255,0.723,0.298,"L",0.002,0.041,0.957,0.0449999999999999,"L",0.96,0.04,0,1.96,"H",0.032,0.274,0.694,0.339,"L",0.05,0.426,0.524,0.526,"L",0.014,0.219,0.767,0.247,"L",0.091,0.354,0.555,0.536,"L",0.004,0.124,0.872,0.131,"L"
