"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S281","s12-07",0,0.013,0.987,0.0129999999999999,"L",0.161,0.578,0.261,0.9,"M",0.099,0.228,0.673,0.426,"L",0.003,0.054,0.943,0.0589999999999999,"L",0.001,0.018,0.981,0.02,"L",0.141,0.67,0.189,0.952,"M",0,0.019,0.98,0.02,"L",0.19,0.433,0.377,0.812,"M",0.017,0.156,0.827,0.19,"L",0.012,0.152,0.836,0.176,"L",0.033,0.232,0.735,0.298,"L"
"S276","s12-08",0,0.015,0.985,0.0149999999999999,"L",0.414,0.486,0.1,1.314,"M",0.099,0.228,0.672,0.427,"L",0.011,0.093,0.896,0.114,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.208,0.637,0.155,1.053,"M",0.001,0.024,0.976,0.0249999999999999,"L",0.187,0.434,0.379,0.808,"M",0.178,0.375,0.447,0.731,"L",0.002,0.071,0.927,0.075,"L",0.008,0.116,0.875,0.133,"L"
"S275","s12-09",0,0.003,0.997,0.00299999999999989,"L",0.154,0.582,0.264,0.89,"M",0.098,0.227,0.675,0.423,"L",0.002,0.054,0.944,0.0580000000000001,"L",0.001,0.017,0.982,0.0189999999999999,"L",0.029,0.464,0.508,0.521,"L",0.001,0.023,0.976,0.024,"L",0.187,0.434,0.379,0.808,"M",0.012,0.13,0.857,0.155,"L",0.003,0.083,0.914,0.089,"L",0.006,0.113,0.88,0.126,"L"
"S280","s12-10",0.001,0.036,0.963,0.0389999999999999,"L",0.39,0.52,0.089,1.301,"M",0.102,0.23,0.668,0.434,"L",0.006,0.085,0.909,0.0960000000000001,"L",0,0.013,0.987,0.014,"L",0.096,0.56,0.344,0.751,"M",0.004,0.056,0.939,0.0649999999999999,"L",0.093,0.443,0.464,0.629,"L",0.007,0.109,0.884,0.123,"L",0.05,0.252,0.699,0.351,"L",0.05,0.218,0.732,0.318,"L"
"S282","s12-11",0.048,0.359,0.593,0.454,"L",0.737,0.241,0.022,1.716,"H",0.151,0.262,0.587,0.564,"L",0.074,0.193,0.733,0.341,"L",0.002,0.022,0.976,0.026,"L",0.378,0.471,0.152,1.226,"M",0.005,0.064,0.931,0.075,"L",0.202,0.428,0.37,0.832,"M",0.026,0.164,0.81,0.216,"L",0.036,0.192,0.772,0.264,"L",0.045,0.203,0.752,0.292,"L"
"S270","s12-12",0.001,0.062,0.936,0.0649999999999999,"L",0.195,0.557,0.248,0.946,"M",0.105,0.232,0.662,0.443,"L",0.017,0.105,0.878,0.139,"L",0.001,0.018,0.982,0.0189999999999999,"L",0.633,0.343,0.024,1.609,"H",0.001,0.026,0.973,0.028,"L",0.19,0.433,0.378,0.812,"M",0.061,0.259,0.68,0.381,"L",0.009,0.129,0.862,0.148,"L",0.019,0.162,0.819,0.2,"L"
"S269","s12-13",0.078,0.439,0.483,0.595,"L",0.661,0.293,0.046,1.615,"H",0.167,0.271,0.561,0.606,"L",0.098,0.221,0.68,0.418,"L",0.003,0.025,0.971,0.032,"L",0.567,0.389,0.045,1.522,"H",0.003,0.055,0.942,0.0609999999999999,"L",0.207,0.426,0.367,0.841,"M",0.122,0.334,0.544,0.579,"L",0.046,0.2,0.754,0.292,"L",0.035,0.197,0.768,0.267,"L"
"S278","s12-14",0,0.002,0.998,0.002,"L",0.154,0.582,0.264,0.89,"M",0.098,0.227,0.675,0.423,"L",0.001,0.03,0.969,0.032,"L",0,0.01,0.99,0.01,"L",0.014,0.391,0.595,0.418,"L",0.001,0.033,0.966,0.036,"L",0.088,0.443,0.468,0.62,"L",0.008,0.116,0.876,0.132,"L",0.006,0.12,0.874,0.132,"L",0.023,0.204,0.774,0.249,"L"
"S279","s12-15",0,0.024,0.976,0.024,"L",0.577,0.371,0.053,1.524,"H",0.1,0.229,0.671,0.43,"L",0.012,0.095,0.893,0.119,"L",0.003,0.034,0.963,0.04,"L",0.191,0.604,0.206,0.985,"M",0.001,0.028,0.971,0.03,"L",0.19,0.432,0.377,0.813,"M",0.026,0.158,0.815,0.211,"L",0.006,0.109,0.884,0.122,"L",0.094,0.348,0.558,0.536,"L"
"S271","s12-16",0.008,0.125,0.868,0.14,"L",0.443,0.476,0.081,1.363,"M",0.114,0.238,0.648,0.466,"L",0.003,0.05,0.947,0.0549999999999999,"L",0,0.014,0.986,0.014,"L",0.453,0.479,0.068,1.385,"M",0.003,0.042,0.955,0.048,"L",0.02,0.26,0.719,0.301,"L",0.092,0.241,0.667,0.425,"L",0.021,0.152,0.827,0.195,"L",0.077,0.236,0.687,0.39,"L"
"S277","s12-17",0,0.007,0.993,0.0069999999999999,"L",0.157,0.581,0.263,0.894,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.014,0.985,0.0149999999999999,"L",0.099,0.659,0.242,0.856,"M",0.001,0.029,0.97,0.0309999999999999,"L",0.273,0.519,0.208,1.065,"M",0.032,0.214,0.753,0.279,"L",0.011,0.148,0.841,0.169,"L",0.005,0.1,0.895,0.11,"L"
"S298","s13-01",0.355,0.549,0.096,1.26,"M",0.94,0.056,0.004,1.936,"H",0.239,0.311,0.45,0.789,"L",0.558,0.322,0.121,1.437,"H",0.007,0.045,0.948,0.0589999999999999,"L",0.983,0.017,0,1.983,"H",0.139,0.35,0.511,0.627,"L",0.265,0.404,0.33,0.935,"M",0.132,0.329,0.539,0.593,"L",0.235,0.331,0.435,0.8,"L",0.231,0.36,0.408,0.823,"L"
"S308","s13-02",0,0,1,0,"L",0.153,0.583,0.264,0.888,"M",0.097,0.227,0.675,0.422,"L",0.021,0.173,0.806,0.216,"L",0,0.005,0.995,0.00499999999999989,"L",0.006,0.29,0.704,0.302,"L",0,0.01,0.99,0.01,"L",0.088,0.443,0.469,0.618,"L",0.003,0.075,0.922,0.081,"L",0.003,0.081,0.916,0.087,"L",0.007,0.116,0.877,0.129,"L"
"S299","s13-03",0.018,0.178,0.803,0.215,"L",0.285,0.5,0.215,1.07,"M",0.123,0.244,0.633,0.489,"L",0.064,0.228,0.708,0.356,"L",0.019,0.098,0.883,0.135,"L",0.463,0.489,0.048,1.414,"M",0.001,0.026,0.974,0.0269999999999999,"L",0.299,0.503,0.199,1.1,"M",0.002,0.06,0.937,0.0649999999999999,"L",0.032,0.169,0.799,0.233,"L",0.09,0.243,0.667,0.423,"L"
"S302","s13-04",0.116,0.683,0.201,0.914,"M",0.905,0.091,0.005,1.9,"H",0.205,0.296,0.5,0.705,"L",0.019,0.167,0.813,0.206,"L",0,0.007,0.993,0.0069999999999999,"L",0.769,0.216,0.015,1.755,"H",0.011,0.126,0.863,0.148,"L",0.281,0.514,0.205,1.076,"M",0.662,0.278,0.06,1.602,"H",0.012,0.114,0.874,0.138,"L",0.043,0.239,0.718,0.325,"L"
"S307","s13-05",0,0.005,0.995,0.00499999999999989,"L",0.156,0.581,0.263,0.893,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.969,0.032,"L",0.001,0.031,0.968,0.0329999999999999,"L",0.093,0.662,0.245,0.848,"M",0,0.013,0.987,0.0129999999999999,"L",0.089,0.443,0.468,0.621,"L",0.002,0.057,0.942,0.0600000000000001,"L",0.005,0.108,0.887,0.118,"L",0.018,0.186,0.796,0.222,"L"
"S291","s13-06",0,0.005,0.995,0.00499999999999989,"L",0.155,0.581,0.263,0.892,"M",0.098,0.228,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0,0.005,0.995,0.00499999999999989,"L",0.065,0.622,0.313,0.752,"M",0,0.023,0.976,0.024,"L",0.091,0.443,0.466,0.625,"L",0.002,0.059,0.939,0.0629999999999999,"L",0.04,0.28,0.68,0.36,"L",0.005,0.103,0.892,0.113,"L"
