SID,AltID,Session,Cond_code,Sequencing,Feedback,All_Items,Correct,Incorrect,Reamaining,ElapsedTime,P.sgp..H,P.sgp..M,P.sgp..L,EAP.sgp,MAP.sgp,P.ar..H,P.ar..M,P.ar..L,EAP.ar,MAP.ar,P.cr..H,P.cr..M,P.cr..L,EAP.cr,MAP.cr,P.dt..H,P.dt..M,P.dt..L,EAP.dt,MAP.dt,P.eg..H,P.eg..M,P.eg..L,EAP.eg,MAP.eg,P.exp..H,P.exp..M,P.exp..L,EAP.exp,MAP.exp,P.ext..H,P.ext..M,P.ext..L,EAP.ext,MAP.ext,P.ir..H,P.ir..M,P.ir..L,EAP.ir,MAP.ir,P.mod..H,P.mod..M,P.mod..L,EAP.mod,MAP.mod,P.rr..H,P.rr..M,P.rr..L,EAP.rr,MAP.rr,P.tab..H,P.tab..M,P.tab..L,EAP.tab,MAP.tab,P.vr..H,P.vr..M,P.vr..L,EAP.vr,MAP.vr,P.pic..H,P.pic..M,P.pic..L,EAP.pic,MAP.pic,t.cr1a,t.cr1b,t.cr3a,t.cr3b,t.cr2a,t.cr2b,t.eg1a,t.eg1b,t.eg3a,t.eg3b,t.eg2a,t.eg2b,t.exp1a,t.exp1b,t.exp3a,t.exp3b,t.exp2a,t.exp2b,t.ext1a,t.ext1c,t.ext3a,t.ext3b,t.ext2a,t.ext2c,t.modext1a,t.modext1b,t.modext3a,t.modext3b,t.modext2a,t.modext2b,t.rr1a,t.rr1b,t.rr3a,t.rr3b,t.rr2a,t.rr2b,t.sgp1a,t.sgp1b,t.sgp3a,t.sgp3b,t.sgp2a,t.sgp2b,t.tabext1a,t.tabext1b,t.tabext3a,t.tabext3b,t.tabext2a,t.tabext2b,t.vrexpmod3a,t.vrexpmod3a,,,t.vrextmod1a,t.vrextmod1b,t.vrextmod2a,t.vrmod3a,t.picexpvrmod3a,t.picexpmod3b,t.picext1a,t.picext1b,t.picext3a,.tpicexttabmodvr2a,t.vevrmg2a
S281,s12-07,12,1,2,2,63,9,30,23,0.03125,0,0.004,0.996,1.996,1,0.002,0.017,0.981,1.979,1,0.075,0.598,0.327,1.253,2,0.098,0.228,0.675,1.577,1,0.003,0.052,0.946,1.943,1,0.001,0.019,0.98,1.978,1,0.005,0.435,0.56,1.555,1,0.007,0.077,0.916,1.909,1,0,0.015,0.985,1.984,1,0.192,0.432,0.376,1.184,2,0.001,0.066,0.933,1.931,1,0.021,0.224,0.755,1.734,1,0.01,0.189,0.801,1.79,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,1,1,1,1,2,NA,NA,1,2,2,1,NA,NA,2,2,1,1,1,1,1
S276,s12-08,12,2,2,1,63,5,24,34,0.03125,0,0,1,2,1,0,0.009,0.991,1.99,1,0.259,0.57,0.171,0.912,2,0.097,0.227,0.675,1.578,1,0.004,0.064,0.933,1.929,1,0.001,0.017,0.982,1.982,1,0.018,0.498,0.484,1.466,2,0.001,0.024,0.976,1.975,1,0,0.012,0.988,1.988,1,0.187,0.434,0.379,1.193,2,0.324,0.459,0.218,0.894,2,0.001,0.056,0.943,1.942,1,0,0.031,0.968,1.968,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1
S275,s12-09,12,1,2,2,63,2,36,25,0.03125,0,0,1,2,1,0,0.009,0.99,1.99,1,0.018,0.402,0.58,1.561,1,0.097,0.227,0.675,1.578,1,0,0.032,0.968,1.967,1,0.001,0.017,0.982,1.981,1,0,0.059,0.941,1.941,1,0.001,0.027,0.972,1.971,1,0,0.014,0.986,1.986,1,0.187,0.434,0.379,1.192,2,0.001,0.064,0.935,1.933,1,0.002,0.07,0.928,1.926,1,0,0.039,0.96,1.96,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1
S280,s12-10,12,3,1,1,63,9,41,13,00:41:42,0,0.001,0.999,1.999,1,0,0.005,0.995,1.995,1,0.073,0.599,0.328,1.256,2,0.097,0.227,0.675,1.578,1,0,0.025,0.975,1.974,1,0,0.003,0.997,1.997,1,0.022,0.517,0.462,1.44,2,0.006,0.079,0.915,1.909,1,0.002,0.049,0.949,1.947,1,0.008,0.228,0.764,1.756,1,0.037,0.286,0.677,1.64,1,0.027,0.227,0.745,1.718,1,0.04,0.211,0.749,1.708,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S282,s12-11,12,2,2,1,63,7,23,33,0.03125,0,0.054,0.946,1.946,1,0.003,0.022,0.975,1.972,1,0.45,0.484,0.066,0.616,2,0.104,0.232,0.665,1.561,1,0.006,0.076,0.918,1.911,1,0.001,0.02,0.979,1.977,1,0.012,0.396,0.592,1.581,1,0.013,0.099,0.888,1.875,1,0.001,0.025,0.975,1.974,1,0.195,0.431,0.374,1.179,2,0.001,0.055,0.943,1.942,1,0.034,0.248,0.717,1.683,1,0,0.038,0.962,1.962,1,NA,NA,1,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,1,NA,1,NA,1,1,NA,NA,1,2,2,NA,NA,1,1,1,1,NA,1,1,1
S270,s12-12,12,2,2,1,63,12,22,29,0.03125,0.002,0.164,0.834,1.832,1,0.007,0.036,0.957,1.95,1,0.17,0.55,0.279,1.109,2,0.118,0.241,0.641,1.524,1,0.013,0.102,0.886,1.873,1,0.004,0.038,0.957,1.953,1,0.801,0.194,0.005,0.203,3,0.028,0.147,0.825,1.798,1,0.002,0.053,0.946,1.944,1,0.205,0.427,0.368,1.162,2,0.049,0.297,0.654,1.605,1,0.055,0.309,0.636,1.58,1,0.015,0.169,0.817,1.802,1,2,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,NA,NA,2,2,1,1,NA,2,1,2,2,1,1,1,NA,NA,NA,1,1,1,2
S269,s12-13,12,1,2,2,63,16,22,25,0.03125,0.004,0.329,0.667,1.663,1,0.004,0.026,0.97,1.966,1,0.42,0.487,0.093,0.673,2,0.138,0.255,0.607,1.469,1,0.022,0.14,0.838,1.816,1,0.002,0.022,0.976,1.974,1,0.618,0.375,0.007,0.39,3,0.017,0.121,0.863,1.846,1,0,0.014,0.986,1.985,1,0.198,0.43,0.372,1.174,2,0.047,0.323,0.631,1.584,1,0.027,0.191,0.782,1.755,1,0.001,0.042,0.958,1.957,1,2,2,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,2,2,2,2,1,1,NA,NA,1,2,2,NA,NA,NA,1,1,NA,1,1,1,1
S278,s12-14,12,1,2,2,63,9,54,0,00:28:03,0,0,1,2,1,0,0.009,0.99,1.99,1,0.072,0.599,0.328,1.256,2,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.006,0.994,1.994,1,0,0.066,0.934,1.933,1,0.007,0.099,0.894,1.887,1,0.001,0.042,0.957,1.956,1,0.04,0.423,0.537,1.498,1,0.001,0.047,0.952,1.951,1,0.03,0.304,0.666,1.636,1,0.001,0.07,0.929,1.928,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1
S279,s12-15,12,2,2,1,63,3,17,43,00:44:47,0,0.001,0.999,1.999,1,0.001,0.012,0.987,1.986,1,0.567,0.379,0.054,0.487,3,0.097,0.227,0.675,1.578,1,0.009,0.089,0.902,1.893,1,0.003,0.033,0.964,1.961,1,0.054,0.576,0.37,1.316,2,0.001,0.031,0.968,1.967,1,0,0.02,0.98,1.98,1,0.189,0.433,0.378,1.189,2,0.012,0.124,0.863,1.851,1,0.003,0.08,0.918,1.915,1,0.024,0.269,0.707,1.683,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,2,2,2,1,1,1,1,1
S271,s12-16,12,3,1,1,63,11,29,23,00:42:58,0,0.023,0.976,1.976,1,0,0.006,0.993,1.993,1,0.086,0.593,0.321,1.236,2,0.1,0.229,0.671,1.57,1,0,0.011,0.989,1.989,1,0,0.011,0.988,1.988,1,0.24,0.661,0.098,0.858,2,0.004,0.052,0.944,1.941,1,0.001,0.027,0.972,1.972,1,0.039,0.422,0.539,1.5,1,0.069,0.243,0.687,1.618,1,0.012,0.138,0.85,1.837,1,0.046,0.216,0.738,1.692,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S277,s12-17,12,3,1,1,63,13,50,0,00:39:49,0,0,1,2,1,0.001,0.018,0.981,1.98,1,0.018,0.402,0.58,1.561,1,0.097,0.227,0.675,1.578,1,0,0.025,0.975,1.975,1,0,0.026,0.974,1.974,1,0.001,0.208,0.792,1.791,1,0.002,0.039,0.959,1.957,1,0,0.014,0.986,1.986,1,0.348,0.55,0.101,0.753,2,0.022,0.25,0.728,1.705,1,0.004,0.107,0.89,1.886,1,0,0.033,0.967,1.966,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
S298,s13-01,13,2,2,1,63,19,21,23,0.03125,0.078,0.842,0.08,1.003,2,0.004,0.035,0.961,1.957,1,0.937,0.061,0.002,0.066,3,0.216,0.304,0.479,1.263,1,0.541,0.386,0.072,0.531,3,0.001,0.017,0.983,1.982,1,0.915,0.083,0.001,0.086,3,0.022,0.2,0.778,1.757,1,0.052,0.337,0.611,1.559,1,0.202,0.428,0.369,1.167,2,0.028,0.258,0.715,1.687,1,0.023,0.19,0.787,1.763,1,0.008,0.146,0.846,1.838,1,NA,NA,2,2,1,1,2,2,2,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,NA,NA,1,1,1,1,NA,1,2,1,2,1,NA,NA,1,NA,NA,1,1,1,1
S308,s13-02,13,3,1,1,63,10,53,0,00:20:46,0,0,1,2,1,0,0.003,0.996,1.996,1,0.018,0.402,0.579,1.561,1,0.097,0.227,0.675,1.578,1,0.045,0.304,0.651,1.606,1,0,0.003,0.997,1.997,1,0,0.039,0.961,1.961,1,0,0.021,0.979,1.979,1,0,0.004,0.996,1.996,1,0.038,0.422,0.54,1.502,1,0.001,0.077,0.922,1.92,1,0.001,0.052,0.948,1.947,1,0,0.037,0.962,1.962,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S299,s13-03,13,3,1,1,63,18,39,6,0.03125,0,0.012,0.988,1.988,1,0,0.007,0.993,1.992,1,0.079,0.596,0.325,1.246,2,0.099,0.228,0.673,1.574,1,0.009,0.154,0.837,1.827,1,0.002,0.056,0.942,1.94,1,0.062,0.756,0.182,1.12,2,0.001,0.032,0.967,1.966,1,0,0.005,0.995,1.995,1,0.039,0.422,0.538,1.499,1,0,0.038,0.962,1.961,1,0.002,0.089,0.909,1.907,1,0.01,0.126,0.864,1.854,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
S302,s13-04,13,3,1,1,63,28,35,0,00:26:40,0.039,0.74,0.221,1.183,2,0.001,0.024,0.975,1.974,1,0.71,0.256,0.035,0.325,3,0.196,0.292,0.513,1.317,1,0.005,0.126,0.869,1.864,1,0,0.003,0.997,1.997,1,0.843,0.156,0.001,0.159,3,0.003,0.101,0.896,1.892,1,0.012,0.174,0.814,1.802,1,0.351,0.548,0.101,0.75,2,0.905,0.092,0.002,0.097,3,0.002,0.059,0.939,1.937,1,0.027,0.289,0.684,1.657,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1
S307,s13-05,13,2,2,1,63,12,49,0,00:25:53,0,0,1,2,1,0,0.002,0.998,1.998,1,0.072,0.599,0.328,1.256,2,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.009,0.991,1.99,1,0.031,0.746,0.223,1.193,2,0,0.029,0.971,1.97,1,0.003,0.072,0.925,1.922,1,0.008,0.227,0.765,1.757,1,0.001,0.067,0.932,1.93,1,0.002,0.086,0.913,1.911,1,0.002,0.082,0.916,1.915,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
S291,s13-06,13,1,2,2,63,7,56,0,00:13:35,0,0,1,2,1,0,0.006,0.994,1.994,1,0.018,0.402,0.58,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.001,0.999,1.999,1,0,0.152,0.848,1.848,1,0.003,0.066,0.931,1.928,1,0,0.027,0.973,1.973,1,0.039,0.422,0.539,1.5,1,0.001,0.045,0.954,1.954,1,0.013,0.212,0.775,1.762,1,0,0.034,0.966,1.965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
S297,s13-07,13,1,2,2,63,17,46,0,00:23:33,0,0.004,0.996,1.996,1,0.002,0.023,0.976,1.974,1,0.02,0.402,0.578,1.558,1,0.098,0.227,0.675,1.577,1,0,0.01,0.99,1.99,1,0.003,0.08,0.916,1.913,1,0.066,0.776,0.159,1.093,2,0.032,0.224,0.745,1.713,1,0.024,0.185,0.792,1.768,1,0.011,0.234,0.755,1.745,1,0.033,0.282,0.685,1.652,1,0.145,0.488,0.367,1.223,2,0,0.033,0.966,1.966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1
S296,s13-08,13,3,1,1,63,24,39,0,00:22:04,0,0.102,0.898,1.897,1,0,0.003,0.997,1.997,1,0.71,0.282,0.008,0.298,3,0.11,0.236,0.655,1.545,1,0.069,0.329,0.602,1.533,1,0.001,0.044,0.955,1.955,1,0.324,0.648,0.028,0.703,2,0.001,0.045,0.953,1.952,1,0,0.028,0.972,1.971,1,0.001,0.102,0.897,1.896,1,0.046,0.328,0.626,1.58,1,0.003,0.103,0.894,1.891,1,0,0.034,0.966,1.966,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
S292,s13-09,13,2,2,1,63,12,51,0,00:20:35,0,0,1,2,1,0,0.004,0.996,1.996,1,0.018,0.402,0.58,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.017,0.983,1.983,1,0.032,0.74,0.228,1.196,2,0.002,0.055,0.943,1.941,1,0,0.023,0.977,1.977,1,0.008,0.228,0.764,1.756,1,0.008,0.153,0.839,1.831,1,0.008,0.18,0.812,1.804,1,0.002,0.081,0.917,1.915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2
S304,s13-10,13,2,2,1,63,12,18,33,0.03125,0.041,0.77,0.189,1.148,2,0.004,0.029,0.968,1.964,1,0.89,0.099,0.011,0.121,3,0.2,0.295,0.506,1.306,1,0.017,0.18,0.803,1.786,1,0.003,0.032,0.965,1.962,1,0.856,0.138,0.006,0.15,3,0.011,0.146,0.843,1.833,1,0.017,0.204,0.779,1.762,1,0.199,0.429,0.372,1.173,2,0.325,0.47,0.205,0.88,2,0.01,0.131,0.86,1.85,1,0.06,0.332,0.608,1.549,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,NA,NA,2,2,1,1,NA,1,1,1,2,1,2,1,NA,NA,NA,1,1,1,1
S301,s13-11,13,2,2,1,63,14,47,0,00:31:20,0,0.005,0.995,1.995,1,0,0.003,0.996,1.996,1,0.02,0.402,0.578,1.558,1,0.098,0.228,0.675,1.577,1,0,0.01,0.99,1.99,1,0.001,0.047,0.951,1.95,1,0.045,0.746,0.209,1.164,2,0.002,0.054,0.945,1.943,1,0,0.02,0.98,1.98,1,0.001,0.102,0.897,1.895,1,0.04,0.301,0.659,1.618,1,0.008,0.174,0.819,1.811,1,0.01,0.188,0.802,1.792,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2
S305,s13-12,13,3,1,1,63,37,19,7,0.03125,0.962,0.038,0,0.038,3,0.018,0.163,0.819,1.802,1,1,0,0,0,3,0.305,0.335,0.36,1.055,1,0.835,0.159,0.006,0.171,3,0,0.007,0.993,1.993,1,1,0,0,0,3,0.12,0.413,0.467,1.347,1,0.121,0.483,0.397,1.276,2,0.656,0.322,0.022,0.365,3,0.409,0.46,0.131,0.722,2,0.081,0.308,0.611,1.531,1,0.827,0.153,0.02,0.193,3,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA
S294,s13-13,13,1,2,2,63,14,49,0,00:21:47,0,0.012,0.988,1.988,1,0,0.004,0.996,1.996,1,0.023,0.403,0.574,1.552,1,0.099,0.228,0.673,1.574,1,0,0.01,0.99,1.99,1,0,0.007,0.993,1.993,1,0.065,0.804,0.131,1.066,2,0.003,0.072,0.925,1.922,1,0,0.01,0.99,1.99,1,0.008,0.228,0.764,1.756,1,0.002,0.085,0.913,1.911,1,0.015,0.228,0.758,1.743,1,0,0.038,0.962,1.962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1
S295,s13-14,13,2,2,1,63,16,46,0,00:26:12,0,0.007,0.993,1.993,1,0.001,0.017,0.982,1.982,1,0.021,0.403,0.576,1.556,1,0.098,0.228,0.674,1.576,1,0,0.01,0.99,1.99,1,0,0.007,0.993,1.993,1,0.081,0.775,0.144,1.063,2,0.008,0.097,0.895,1.886,1,0,0.017,0.983,1.982,1,0.143,0.578,0.279,1.137,2,0.127,0.447,0.426,1.298,2,0.029,0.289,0.683,1.654,1,0,0.018,0.982,1.982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1
S303,s13-15,13,1,2,2,63,14,31,16,0.03125,0,0.015,0.985,1.985,1,0.001,0.01,0.989,1.989,1,0.024,0.403,0.573,1.549,1,0.099,0.228,0.672,1.573,1,0.001,0.034,0.966,1.965,1,0.001,0.017,0.982,1.981,1,0.166,0.761,0.072,0.906,2,0.001,0.032,0.967,1.966,1,0.003,0.068,0.929,1.926,1,0.187,0.434,0.379,1.192,2,0.202,0.486,0.312,1.11,2,0.002,0.082,0.916,1.913,1,0.001,0.047,0.953,1.952,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,2,1,2,2,1,1,2,NA,NA,1,2,1,1,NA,NA,1,1,1,2,1,1,1
S306,s13-16,13,1,2,2,63,15,29,19,0.03125,0,0.13,0.87,1.869,1,0.001,0.01,0.989,1.989,1,0.5,0.464,0.036,0.536,3,0.113,0.238,0.649,1.536,1,0.002,0.05,0.948,1.947,1,0.001,0.017,0.982,1.981,1,0.152,0.76,0.087,0.935,2,0.001,0.034,0.965,1.964,1,0,0.019,0.98,1.98,1,0.188,0.434,0.379,1.191,2,0.016,0.21,0.774,1.759,1,0.001,0.05,0.949,1.948,1,0,0.024,0.976,1.976,1,2,2,1,1,1,2,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,2,2,2,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,1,2,1,2,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1
S300,s13-17,13,1,2,2,63,11,52,0,00:27:54,0,0,1,2,1,0,0.002,0.998,1.998,1,0.018,0.402,0.579,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.008,0.992,1.992,1,0.029,0.68,0.291,1.262,2,0.001,0.038,0.961,1.96,1,0,0.011,0.989,1.989,1,0.001,0.101,0.897,1.896,1,0.171,0.463,0.366,1.195,2,0.004,0.123,0.873,1.869,1,0,0.043,0.956,1.956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2
S293,s13-18,13,3,1,1,63,9,54,0,00:23:19,0,0.001,0.999,1.999,1,0,0.002,0.998,1.998,1,0.019,0.402,0.579,1.56,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.003,0.997,1.997,1,0.009,0.58,0.411,1.401,2,0.002,0.054,0.944,1.942,1,0,0.02,0.98,1.98,1,0.001,0.102,0.897,1.896,1,0,0.031,0.969,1.969,1,0.008,0.179,0.813,1.805,1,0,0.025,0.975,1.975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1
S316,s14-01,14,2,2,1,63,11,9,43,0.03125,0.147,0.751,0.102,0.955,2,0.013,0.062,0.925,1.912,1,0.928,0.066,0.006,0.078,3,0.22,0.304,0.476,1.256,1,0.169,0.319,0.512,1.344,1,0.005,0.032,0.963,1.958,1,0.972,0.027,0,0.028,3,0.068,0.252,0.68,1.613,1,0.257,0.416,0.326,1.069,2,0.223,0.42,0.357,1.134,2,0.479,0.407,0.115,0.636,3,0.081,0.248,0.671,1.59,1,0.104,0.386,0.509,1.405,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,2
S319,s14-02,14,2,2,1,63,18,45,0,00:34:30,0,0.001,0.999,1.999,1,0.013,0.053,0.934,1.922,1,0.019,0.402,0.579,1.561,1,0.097,0.227,0.675,1.578,1,0,0.025,0.975,1.975,1,0.012,0.118,0.87,1.859,1,0.007,0.5,0.493,1.486,2,0.017,0.105,0.878,1.861,1,0.002,0.064,0.934,1.931,1,0.371,0.532,0.097,0.726,2,0.006,0.135,0.858,1.852,1,0.034,0.266,0.7,1.666,1,0.004,0.129,0.867,1.863,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1
S317,s14-03,14,3,1,1,63,18,45,0,00:23:05,0,0.014,0.986,1.986,1,0,0.002,0.998,1.998,1,0.442,0.517,0.041,0.599,2,0.099,0.228,0.673,1.574,1,0,0.01,0.99,1.99,1,0,0.017,0.983,1.982,1,0.102,0.779,0.119,1.017,2,0,0.022,0.978,1.978,1,0,0.006,0.994,1.994,1,0.008,0.227,0.765,1.757,1,0.121,0.444,0.435,1.313,2,0.001,0.052,0.948,1.947,1,0.002,0.095,0.903,1.901,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
S318,s14-04,14,1,2,2,63,16,47,0,00:23:31,0,0.002,0.998,1.998,1,0,0.004,0.996,1.996,1,0.209,0.655,0.136,0.928,2,0.098,0.227,0.675,1.577,1,0.001,0.064,0.935,1.934,1,0.003,0.084,0.913,1.909,1,0.004,0.438,0.558,1.553,1,0.001,0.048,0.951,1.949,1,0,0.03,0.97,1.969,1,0.001,0.102,0.897,1.895,1,0.003,0.091,0.906,1.904,1,0.006,0.153,0.841,1.834,1,0.01,0.196,0.794,1.783,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2
